layer,category,subcategory
prs_sqi,ecological,pollution
prs_pathogens,ecological,pollution
prs_wqi,ecological,pollution
prs_trash,ecological,pollution
sp_alien,ecological,alien_species
sp_genetic,ecological,alien_species
hd_subtidal_sb,ecological,habitat_destruction
hd_subtidal_hb,ecological,habitat_destruction
hd_intertidal,ecological,habitat_destruction
fp_com_hb,ecological,fishing_pressure
fp_com_lb,ecological,fishing_pressure
fp_art_lb,ecological,fishing_pressure
fp_art_hb,ecological,fishing_pressure
fp_targetharvest,ecological,fishing_pressure
cc_sst,ecological,climate_change
cc_acid,ecological,climate_change
cc_uv,ecological,climate_change
cc_slr,ecological,climate_change
ss_wgi,social,social
ss_spi,social,social
