scenario_year,layer_name,data_year
2005,tr_rao_coastal_access,2017
2006,tr_rao_coastal_access,2017
2007,tr_rao_coastal_access,2017
2008,tr_rao_coastal_access,2017
2009,tr_rao_coastal_access,2017
2010,tr_rao_coastal_access,2017
2011,tr_rao_coastal_access,2017
2012,tr_rao_coastal_access,2017
2013,tr_rao_coastal_access,2017
2014,tr_rao_coastal_access,2017
2015,tr_rao_coastal_access,2017
2016,tr_rao_coastal_access,2017
2017,tr_rao_coastal_access,2017
2005,rao_fssi,2005
2006,rao_fssi,2006
2007,rao_fssi,2007
2008,rao_fssi,2008
2009,rao_fssi,2009
2010,rao_fssi,2010
2011,rao_fssi,2011
2012,rao_fssi,2012
2013,rao_fssi,2013
2014,rao_fssi,2014
2015,rao_fssi,2015
2016,rao_fssi,2016
2017,rao_fssi,2017
2005,rao_econ_access,2005
2006,rao_econ_access,2006
2007,rao_econ_access,2007
2008,rao_econ_access,2008
2009,rao_econ_access,2009
2010,rao_econ_access,2010
2011,rao_econ_access,2011
2012,rao_econ_access,2012
2013,rao_econ_access,2013
2014,rao_econ_access,2014
2015,rao_econ_access,2015
2016,rao_econ_access,2016
2017,rao_econ_access,2017
2005,cc_acid,2012
2006,cc_acid,2012
2007,cc_acid,2012
2008,cc_acid,2012
2009,cc_acid,2012
2010,cc_acid,2012
2011,cc_acid,2012
2012,cc_acid,2012
2013,cc_acid,2013
2014,cc_acid,2014
2015,cc_acid,2015
2016,cc_acid,2016
2017,cc_acid,2017
2005,cc_slr,2011
2006,cc_slr,2011
2007,cc_slr,2011
2008,cc_slr,2011
2009,cc_slr,2011
2010,cc_slr,2011
2011,cc_slr,2011
2012,cc_slr,2011
2013,cc_slr,2012
2014,cc_slr,2013
2015,cc_slr,2014
2016,cc_slr,2015
2017,cc_slr,2016
2005,cc_sst,2005
2006,cc_sst,2006
2007,cc_sst,2007
2008,cc_sst,2008
2009,cc_sst,2009
2010,cc_sst,2010
2011,cc_sst,2011
2012,cc_sst,2012
2013,cc_sst,2013
2014,cc_sst,2014
2015,cc_sst,2015
2016,cc_sst,2016
2017,cc_sst,2017
2005,cc_uv,2012
2006,cc_uv,2012
2007,cc_uv,2012
2008,cc_uv,2012
2009,cc_uv,2012
2010,cc_uv,2012
2011,cc_uv,2012
2012,cc_uv,2012
2013,cc_uv,2013
2014,cc_uv,2014
2015,cc_uv,2015
2016,cc_uv,2016
2017,cc_uv,2016
2005,cw_pathogens,2005
2006,cw_pathogens,2006
2007,cw_pathogens,2007
2008,cw_pathogens,2008
2009,cw_pathogens,2009
2010,cw_pathogens,2010
2011,cw_pathogens,2011
2012,cw_pathogens,2012
2013,cw_pathogens,2013
2014,cw_pathogens,2014
2015,cw_pathogens,2015
2016,cw_pathogens,2016
2017,cw_pathogens,2017
2005,cw_trash,2006
2006,cw_trash,2006
2007,cw_trash,2007
2008,cw_trash,2008
2009,cw_trash,2009
2010,cw_trash,2010
2011,cw_trash,2011
2012,cw_trash,2012
2013,cw_trash,2013
2014,cw_trash,2014
2015,cw_trash,2015
2016,cw_trash,2016
2017,cw_trash,2017
2005,cw_wqi,2006
2006,cw_wqi,2006
2007,cw_wqi,2007
2008,cw_wqi,2008
2009,cw_wqi,2009
2010,cw_wqi,2010
2011,cw_wqi,2010
2012,cw_wqi,2010
2013,cw_wqi,2010
2014,cw_wqi,2010
2015,cw_wqi,2010
2016,cw_wqi,2010
2017,cw_wqi,2010
2005,cw_sqi,2006
2006,cw_sqi,2006
2007,cw_sqi,2007
2008,cw_sqi,2008
2009,cw_sqi,2009
2010,cw_sqi,2010
2011,cw_sqi,2010
2012,cw_sqi,2010
2013,cw_sqi,2010
2014,cw_sqi,2010
2015,cw_sqi,2010
2016,cw_sqi,2010
2017,cw_sqi,2010
2005,eco_coast_gdp,2008
2006,eco_coast_gdp,2008
2007,eco_coast_gdp,2008
2008,eco_coast_gdp,2008
2009,eco_coast_gdp,2009
2010,eco_coast_gdp,2010
2011,eco_coast_gdp,2011
2012,eco_coast_gdp,2012
2013,eco_coast_gdp,2013
2014,eco_coast_gdp,2014
2015,eco_coast_gdp,2015
2016,eco_coast_gdp,2016
2017,eco_coast_gdp,2016
2005,fis_stockscores,2005
2006,fis_stockscores,2006
2007,fis_stockscores,2007
2008,fis_stockscores,2008
2009,fis_stockscores,2009
2010,fis_stockscores,2010
2011,fis_stockscores,2011
2012,fis_stockscores,2012
2013,fis_stockscores,2013
2014,fis_stockscores,2014
2015,fis_stockscores,2015
2016,fis_stockscores,2016
2017,fis_stockscores,2017
2005,fis_meancatch,2005
2006,fis_meancatch,2006
2007,fis_meancatch,2007
2008,fis_meancatch,2008
2009,fis_meancatch,2009
2010,fis_meancatch,2010
