"layer","filename","fld_value","targets","name","units","description"
"cc_acid","cc_acid_gl2017.csv","pressure_score","RAO pressureFIS pressureHAB pressureICO pressureMAR pressureSPP pressure","Ocean acidification","scaled 0-1","Ocean acidification pressure scaled using biological thresholds"
"cc_slr","cc_slr.csv","pressure_score","RAO pressureHS pressureECO pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureSPP pressureTR pressure","Sea level rise","scaled 0-1","Sea level rise pressure"
"cc_sst","cc_sst.csv","pressure_score","RAO pressureHS pressureCW pressureFIS pressureHAB pressureICO pressureLSP pressureMAR pressureSPP pressure","Sea surface temperature","scaled 0-1","Sea surface temperature anomalies"
"cw_pathogens","cw_pathogens.csv","perc_open","CW","Pathogen-related beach closures","proportion","Proportion of swim season beaches are closed due to presence of pathogens"
"cw_sqi","cw_sqi.csv","score","CW","Sediment quality index score","score 0-100","Sediment quality index"
"cw_trash","cw_trash.csv","score","CW","Pounds per person","scaled 0-1","Pounds of trash collected per volunteer"
"cw_wqi","cw_wqi.csv","score","CW","Water quality index score","score 0-100","Water quality score"
"eco_coast_gdp","eco_coast_gdp.csv","gdp_growth_rate","ECO","GDP growth rate","rate","GDP growth rate for coastal jobs"
"element_wts_hab_pres_abs","element_wts_hab_pres_abs.csv","boolean","HAB weighting","Habitat weights","boolean","List of habitats in each region"
"fis_meancatch","fis_meancatch.csv","mean_catch_times_prop","FIS","Fishery catch data","pounds","rolling three year mean of commercial catch by state"
"fis_stockscores","fis_stockscores.csv","score","FIS","Stock scores","stock score","Fisheries stock scores between 0 and 1"
"hab_eelgrass","hab_eelgrass.csv","score","HAB","Water Quality Index score","score 0 - 100","Water Quality Index Score"
"hab_salt_marsh","hab_salt_marsh.csv","perc_loss","HAB","Percent loss of habitat","percent","Percent of habitat loss compared to historical values"
"hab_sasi","hab_sasi.csv","sasi","HAB","SASI","score 0 - 1","SASI"
"hd_intertidal","hd_intertidal_gl2017.csv","pressure_score","RAO pressureHS pressureFIS pressureHAB pressureICO pressureLSP pressureSPP pressureTR pressure","Intertidal habitat destruction","scaled 0-1","Coastal population density (25 mi from shore)  as a proxy for intertidal habitat destruction"
"hs_carbon_storage","hs_carbon_storage.csv","cs_score","HS","Carbon storage","score 0 - 100","Carbon storage score based on eelgrass and salt marsh"
"hs_coastal_protection","hs_coastal_protection.csv","cp_score","HS","Coastal Protection","score 0 - 100","Coastal protection score based on eelgrass and salt marsh"
"ico_scores","ico_scores.csv","score","ICO","Conservation status","score 0 - 1","Conservation status from IUCN or Natureserve per region"
"le_coast_wages","le_coast_wages.csv","wage_growth_rate","LE","wage growth rate","rate","growth rate in wages compared to the average of the previous 3 years"
"le_job_growth","le_job_growth.csv","coast_job_growth","LE","job growth wate","rate","growth rate of jobs compared to the average of the previous 3 years"
"lsp_protected_land","lsp_protected_land.csv","prop_area","LSP","Inland coastal protected areas","proportion","Proportion of 1km inland area protected"
"lsp_protected_marine","lsp_protected_marine.csv","prop_area","LSP","Offshore coastal protected areas","proportion","Proportion of state waters protected"
"mar_production","mar_production.csv","production","MAR","Tonnes of production","tonnes","Tonnes of production with a 3 yr rolling average"
"mar_sust_scores","mar_sust_scores.csv","rescaled","MAR","Seafood Watch sustainability scores","scaled 0 - 1","Seafood watch sustainability scores"
"prs_fishing","prs_fishing.csv","pressure_score","RAO pressureFIS pressureICO pressureLSP pressureSPP pressureTR pressure","Fishing pressure","scaled 0-1","Pressure from fishing biomass removal"
"prs_pathogens","prs_pathogens.csv","perc_closed","RAO pressureCW pressureLSP pressureTR pressure","Pathogen pollution","scaled 0-1","Percent of year with beaches closed due to presence of pathogens"
"hd_subtidal","hd_subtidal.csv","score","RAO pressureFIS pressureHAB pressureICO pressureLSP pressureMAR pressureSPP pressure","SASI","scaled 0-1","SASI"
"prs_social","prs_social.csv","pressure_score","RAO pressureHS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureSPP pressureTR pressure","Socal pressure","scaled 0 - 1","Social pressure derived from NOAAs social vulnerability index"
"prs_sqi","prs_sqi.csv","score","RAO pressureHS pressureCW pressureFIS pressureHAB pressureICO pressureMAR pressureSPP pressure","Sediment quality index","scaled 0-1","Water quality score"
"prs_trash","prs_trash.csv","score","RAO pressureCW pressureICO pressureLSP pressureSPP pressureTR pressure","Beach trash","scaled 0-1","Trash picked up during coastal cleanup day"
"prs_wqi","prs_wqi.csv","score","RAO pressureHS pressureCW pressureFIS pressureHAB pressureICO pressureLSP pressureMAR pressureSPP pressureTR pressure","Water quality index","scaled 0-1","Water quality score"
"rao_econ_access","rao_econ_access.csv","score","RAO","Gas prices to wage ratio","scaled 0 - 1","Comparison of gas prices to mean wages"
"rao_fssi","rao_fssi.csv","score","RAO","Fish stock sustainability","scaled 0-1","NOAA's fish stock sustainability index"
"res_alien","res_alien.csv","score","SPP resilience","","scaled 0-1",""
"res_climate_change","res_climate_change.csv","score","RAO resilienceHS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceSPP resilienceTR resilience","","scaled 0-1",""
"res_eco_integrity","res_eco_integrity.csv","resilience_score","RAO resilienceHS resilienceFIS resilienceHAB resilienceICO resilienceLSP resilienceMAR resilienceSPP resilience","Species status","scaled 0-1","Species status as calculated in the SPP goal but used as a measure of ecological resilience"
"res_fishing","res_fishing.csv","score","RAO resilienceFIS resilienceICO resilienceLSP resilienceSPP resilienceTR resilience","","scaled 0-1",""
"res_hab_destruction","res_hab_destruction.csv","score","RAO resilienceHS resilienceFIS resilienceHAB resilienceLSP resilienceMAR resilienceSPP resilience","","scaled 0-1",""
"res_social","res_social.csv","score","RAO resilienceHS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceSPP resilienceTR resilience","Social resilience","scaled 0-1","Social resilience derived from NOAA's social vulnerability index"
"res_water_pollution","res_water_pollution.csv","score","RAO resilienceHS resilienceCW resilienceFIS resilienceHAB resilienceICO resilienceLSP resilienceMAR resilienceSPP resilienceTR resilience","","scaled 0-1",""
"rgn_area","rgn_area.csv","area_km2"," spatial","Region areas based on EEZ boundaries","km2","Area of Ocean Health Index regions modified from exclusive economic zones"
"rgn_georegions","rgn_georegions_gl2017.csv","georgn_id"," spatial","UN geopolitical region classifications","UN regions","UN geopolitical regions (3 levels), often used for gapfilling missing data"
"rgn_global","rgn_global.csv","label"," spatial","OHI regions","label","Subset of regions that are not deleted or disputed"
"rgn_labels","rgn_labels.csv","label"," spatial","Regions","label","Regions by type (eez, subocean, unclaimed)"
"sp_alien","sp_alien_gl2017.csv","pressures.score","RAO pressureHS pressureFIS pressureHAB pressureICO pressureLSP pressureMAR pressureSPP pressure","Nonindigenous species","scaled 0-1","Measure of harmful invasive species"
"sp_genetic","sp_genetic_gl2017.csv","pressure_score","RAO pressureFIS pressureICO pressureSPP pressure","Genetic escapes","scaled 0-1","Introduced mariculture species (Mariculture Sustainability Index) as a proxy for genetic escapes"
"spp_rgns","spp_rgns.csv","rgn_id","SPP","Region id where species exist","region","region id where species is found"
"spp_status_scores","spp_status_scores.csv","score","SPP","Species conservation status score","scaled 0-1","Species conservation status score based on IUCN and NatureServe"
"spp_trend","spp_trend.csv","score","SPP","species trends","0.25 to -0.25","species population trends"
"ss_spi","ss_spi_gl2017.csv","pressure_score",NA,"Weakness of social progress","scaled 0-1","Inverse of Social Progress Index scores"
"ss_wgi","ss_wgi_gl2017.csv","pressure_score",NA,"Weakness of governance","scaled 0-1","Inverse of World Governance Indicators (WGI) six combined scores"
"tr_beach_closures","tr_beach_closures.csv","perc_open","TR","Proportion of swim season beaches are open on average","proportion","Proportion of swim season beaches are open on average"
"tr_job_growth","tr_job_growth.csv","tr_job_growth","TR","job growth rate","rate","Job growth rate in T&R sector compared to avg of previous 3 years"
"tr_rao_coastal_access","tr_rao_coastal_access.csv","score","TRRAO","proportion of coast with an access point","score 0 - 1","proportion of coast with an access point"
