"","year","rgn_id","rgn_name","score"
"1",2014,1,"Offshore",0.743940645609286
"2",2014,2,"Georges Bank",0.769503256913357
"3",2014,3,"Gulf of Maine",0.85540188149114
"4",2014,4,"Mid-Atlantic Bight",0.755081412957047
"5",2014,5,"Connecticut",0.769299920697225
"6",2014,6,"Maine",0.871074999582316
"7",2014,7,"Massachusetts-North",0.860802575887679
"8",2014,8,"Massachusetts-South",0.790169465362106
"9",2014,9,"New Hampshire",0.870859994253981
"10",2014,10,"New York",0.769480872920708
"11",2014,11,"Rhode Island",0.767648988099539
"12",2015,1,"Offshore",0.507431394159732
"13",2015,2,"Georges Bank",0.593150072837268
"14",2015,3,"Gulf of Maine",0.620592510874328
"15",2015,4,"Mid-Atlantic Bight",0.499191607092887
"16",2015,5,"Connecticut",0.524669079564688
"17",2015,6,"Maine",0.654309505378994
"18",2015,7,"Massachusetts-North",0.616413226023906
"19",2015,8,"Massachusetts-South",0.587243450975351
"20",2015,9,"New Hampshire",0.619822061116542
"21",2015,10,"New York",0.525092271139755
"22",2015,11,"Rhode Island",0.532747829584245
"23",2016,1,"Offshore",0.523873247163326
"24",2016,2,"Georges Bank",0.593779753900328
"25",2016,3,"Gulf of Maine",0.607391415053624
"26",2016,4,"Mid-Atlantic Bight",0.501291776475542
"27",2016,5,"Connecticut",0.51651860038283
"28",2016,6,"Maine",0.642932481510893
"29",2016,7,"Massachusetts-North",0.603262049820725
"30",2016,8,"Massachusetts-South",0.582075997539189
"31",2016,9,"New Hampshire",0.610220929898253
"32",2016,10,"New York",0.516707537489951
"33",2016,11,"Rhode Island",0.523394776384848
"34",2017,1,"Offshore",0.556976491166817
"35",2017,2,"Georges Bank",0.609525460283625
"36",2017,3,"Gulf of Maine",0.624680079340099
"37",2017,4,"Mid-Atlantic Bight",0.528122985757463
"38",2017,5,"Connecticut",0.53066255715419
"39",2017,6,"Maine",0.662928272373076
"40",2017,7,"Massachusetts-North",0.618670224727895
"41",2017,8,"Massachusetts-South",0.595226562457867
"42",2017,9,"New Hampshire",0.62425044096938
"43",2017,10,"New York",0.531808754104438
"44",2017,11,"Rhode Island",0.537783552951142
"45",2014,12,"Northeast",0.780261606883957
"46",2015,12,"Northeast",0.552555334434751
"47",2016,12,"Northeast",0.555605602221897
"48",2017,12,"Northeast",0.579973676683748
