"rgn_id","rgn_name","year","pressure_score"
1,"Offshore",1986,0.244831474274819
2,"Georges Bank",1986,0.209784265008273
3,"Gulf of Maine",1986,0.183993463219549
4,"Mid-Atlantic Bight",1986,0.166643549273114
5,"Connecticut",1986,0.11481214987696
6,"Maine",1986,0.136353510884734
7,"Massachusetts-North",1986,0.137570320569874
8,"Massachusetts-South",1986,0.142015084834074
9,"New Hampshire",1986,0.0759213502738583
10,"New York",1986,0.133960505422422
11,"Rhode Island",1986,0.115164341135441
12,"Northeast",1986,0.205386262149241
1,"Offshore",1987,0.257901596286402
2,"Georges Bank",1987,0.195284309322283
3,"Gulf of Maine",1987,0.190130686839479
4,"Mid-Atlantic Bight",1987,0.16891014613212
5,"Connecticut",1987,0.130459293510378
6,"Maine",1987,0.145612838491053
7,"Massachusetts-North",1987,0.146230987807544
8,"Massachusetts-South",1987,0.138672918936607
9,"New Hampshire",1987,0.0994807219216495
10,"New York",1987,0.145354727398161
11,"Rhode Island",1987,0.131544092330357
12,"Northeast",1987,0.210055744456297
1,"Offshore",1988,0.244556876058626
2,"Georges Bank",1988,0.160597083995001
3,"Gulf of Maine",1988,0.164099724704452
4,"Mid-Atlantic Bight",1988,0.164454032998599
5,"Connecticut",1988,0.125682588062965
6,"Maine",1988,0.132006698206536
7,"Massachusetts-North",1988,0.109255134617864
8,"Massachusetts-South",1988,0.113282296628191
9,"New Hampshire",1988,0.0964462708687054
10,"New York",1988,0.127232865923392
11,"Rhode Island",1988,0.125591712235377
12,"Northeast",1988,0.191084001525738
1,"Offshore",1989,0.252626222340691
2,"Georges Bank",1989,0.131924296703269
3,"Gulf of Maine",1989,0.13031667560232
4,"Mid-Atlantic Bight",1989,0.160163866087906
5,"Connecticut",1989,0.122964732623326
6,"Maine",1989,0.107440873642598
7,"Massachusetts-North",1989,0.0940272684790189
8,"Massachusetts-South",1989,0.107103398329106
9,"New Hampshire",1989,0.101739110014391
10,"New York",1989,0.121902952643371
11,"Rhode Island",1989,0.107053290208433
12,"Northeast",1989,0.180029107627678
1,"Offshore",1990,0.213783653765928
2,"Georges Bank",1990,0.16137833917827
3,"Gulf of Maine",1990,0.111694230691084
4,"Mid-Atlantic Bight",1990,0.144613389008204
5,"Connecticut",1990,0.132238214161817
6,"Maine",1990,0.113946199842298
7,"Massachusetts-North",1990,0.100391837071662
8,"Massachusetts-South",1990,0.117900845357756
9,"New Hampshire",1990,0.102538419714763
10,"New York",1990,0.123807233957281
