"","year","rgn_id","rgn_name","species","stock","stock_id","mean_catch","display_name","mean_catch_times_prop","fixed_name"
"1",2005,1,"Offshore","BLACK SEA BASS",NA,NA,21406.8167838375,"BLACK SEA BASS",21406.8167838375,"BLACK SEA BASS"
"2",2005,1,"Offshore","BLUEFISH",NA,NA,19680.0480245914,"BLUEFISH",19680.0480245914,"BLUEFISH"
"3",2005,1,"Offshore","BONITO",NA,NA,14.1452590258606,"BONITO",14.1452590258606,"BONITO"
"4",2005,1,"Offshore","BUTTERFISH",NA,NA,94693.9239987661,"BUTTERFISH",94693.9239987661,"BUTTERFISH"
"5",2005,1,"Offshore","COD","GB Cod East","CODGBE",180243.047931725,"CODGBE",180243.047931725,"ATLANTIC COD, GBE"
"6",2005,1,"Offshore","COD","GB Cod West","CODGBW",313220.722140894,"CODGBW",313220.722140894,"ATLANTIC COD, GBW"
"7",2005,1,"Offshore","CONFIDENTIAL SPECIES",NA,NA,2702902.09467619,"CONFIDENTIAL SPECIES",2702902.09467619,"CONFIDENTIAL SPECIES"
"8",2005,1,"Offshore","CRAB, JONAH",NA,NA,822139.989645508,"CRAB, JONAH",822139.989645508,"JONAH CRAB"
"9",2005,1,"Offshore","CRAB, ROCK",NA,NA,22541.5028093179,"CRAB, ROCK",22541.5028093179,"ROCK CRAB"
"10",2005,1,"Offshore","CUNNER",NA,NA,108.006624725934,"CUNNER",108.006624725934,"CUNNER"
"11",2005,1,"Offshore","CUSK",NA,NA,543.097315001331,"CUSK",543.097315001331,"CUSK"
"12",2005,1,"Offshore","DOGFISH, SMOOTH",NA,NA,293.390019297744,"DOGFISH, SMOOTH",293.390019297744,"SMOOTH DOGFISH"
"13",2005,1,"Offshore","DOGFISH, SPINY",NA,NA,8718.80456564689,"DOGFISH, SPINY",8718.80456564689,"SPINY DOGFISH"
"14",2005,1,"Offshore","DOLPHIN FISH / MAHI-MAHI",NA,NA,272.969048798741,"DOLPHIN FISH / MAHI-MAHI",272.969048798741,"DOLPHIN FISH / MAHI-MAHI"
"15",2005,1,"Offshore","EEL, CONGER",NA,NA,514.774613576329,"EEL, CONGER",514.774613576329,"CONGER EEL"
"16",2005,1,"Offshore","EEL, SPECIES NOT SPECIFIED",NA,NA,422.232520810684,"EEL, SPECIES NOT SPECIFIED",422.232520810684,"EEL, SPECIES NOT SPECIFIED"
"17",2005,1,"Offshore","FLOUNDER, AMERICAN PLAICE /DAB","Plaice","PLAGMMA",103154.995023428,"PLAGMMA",103154.995023428,"PLAICE, GULF OF MAINE"
"18",2005,1,"Offshore","FLOUNDER, FOURSPOT",NA,NA,49.8306220580717,"FLOUNDER, FOURSPOT",49.8306220580717,"FOURSPOT FLOUNDER"
"19",2005,1,"Offshore","FLOUNDER, SAND-DAB / WINDOWPANE / BRILL","Northern Windowpane","FLGMGBSS",16544.6397623804,"FLGMGBSS",16544.6397623804,"FLOUNDER, SAND-DAB/WINDOWPANE/BRILL, GOM/GB"
"20",2005,1,"Offshore","FLOUNDER, SAND-DAB / WINDOWPANE / BRILL","Southern Windowpane","FLDSNEMA",345.786380930655,"FLDSNEMA",345.786380930655,"FLOUNDER, SAND-DAB/WINDOWPANE/BRILL, SNE/MA"
"21",2005,1,"Offshore","FLOUNDER, SUMMER / FLUKE",NA,NA,279513.623175902,"FLOUNDER, SUMMER / FLUKE",279513.623175902,"SUMMER FLOUNDER/FLUKE"
"22",2005,1,"Offshore","FLOUNDER, WINTER / BLACKBACK","GB Winter Flounder","FLWGB",1131954.54788079,"FLWGB",1131954.54788079,"WINTER FLOUNDER/BLACKBACK, GB"
"23",2005,1,"Offshore","FLOUNDER, WINTER / BLACKBACK","SNE/MA Winter Flounder","FLWSNEMA",23695.2608396312,"FLWSNEMA",23695.2608396312,"WINTER FLOUNDER/BLACKBACK, SNE/MA"
"24",2005,1,"Offshore","FLOUNDER, WITCH / GRAY SOLE","Witch Flounder","WITGMMA",126502.632759791,"WITGMMA",126502.632759791,"WITCH FLOUNDER/GRAY SOLE"
"25",2005,1,"Offshore","FLOUNDER, YELLOWTAIL","GB Yellowtail Flounder","YELGB",2739209.77185181,"YELGB",2739209.77185181,"YELLOWTAIL FLOUNDER, GB"
"26",2005,1,"Offshore","FLOUNDER, YELLOWTAIL","SNE/MA Yellowtail Flounder","YELSNE",17012.1916415068,"YELSNE",17012.1916415068,"YELLOWTAIL FLOUNDER, SNE/MA"
"27",2005,1,"Offshore","HADDOCK","GB Haddock East","HADGBE",444817.18555549,"HADGBE",444817.18555549,"HADDOCK, GBE"
"28",2005,1,"Offshore","HADDOCK","GB Haddock West","HADGBW",862314.74459402,"HADGBW",862314.74459402,"HADDOCK, GBW"
"29",2005,1,"Offshore","HAKE, RED / LING","Southern Red Hake","HKRSGBMA",270900.728598394,"HKRSGBMA",270900.728598394,"RED HAKE/LING, SGB/MA"
"30",2005,1,"Offshore","HAKE, SILVER / WHITING","Southern Whiting","HKSSGBMA",3597009.21049112,"HKSSGBMA",3597009.21049112,"SILVER HAKE/WHITING, SGB/MA"
"31",2005,1,"Offshore","HAKE, SPECIES NOT SPECIFIED",NA,NA,3853.9707674631,"HAKE, SPECIES NOT SPECIFIED",3853.9707674631,"HAKE, SPECIES NOT SPECIFIED"
"32",2005,1,"Offshore","HAKE, WHITE","White Hake","HKWGMMA",62768.3641128664,"HKWGMMA",62768.3641128664,"WHITE HAKE, GOM/GB"
"33",2005,1,"Offshore","HALIBUT, ATLANTIC","Halibut","HALGMMA",199.012361443062,"HALGMMA",199.012361443062,"ATLANTIC HALIBUT"
"34",2005,1,"Offshore","HERRING, ATLANTIC",NA,NA,1569199.8871855,"HERRING, ATLANTIC",444817.956216154,"ATLANTIC HERRING"
"35",2005,1,"Offshore","JOHN DORY",NA,NA,14595.8180630983,"JOHN DORY",14595.8180630983,"JOHN DORY"
"36",2005,1,"Offshore","MACKEREL, ATLANTIC",NA,NA,4176994.38709303,"MACKEREL, ATLANTIC",3890601.34417679,"ATLANTIC MACKEREL"
"37",2005,1,"Offshore","MONK LIVERS",NA,NA,18630.9085904938,"MONK LIVERS",18630.9085904938,"MONK LIVERS"
