year,rgn_id,rgn_name,score,habitat
2006,5,Connecticut,57.323615716425884,eelgrass
2007,5,Connecticut,58.46075413729971,eelgrass
2008,5,Connecticut,59.59789255817354,eelgrass
2009,5,Connecticut,60.735030979047366,eelgrass
2010,5,Connecticut,61.87216939992119,eelgrass
2011,5,Connecticut,61.87216939992119,eelgrass
2012,5,Connecticut,61.87216939992119,eelgrass
2013,5,Connecticut,61.87216939992119,eelgrass
2014,5,Connecticut,61.87216939992119,eelgrass
2015,5,Connecticut,61.87216939992119,eelgrass
2016,5,Connecticut,61.87216939992119,eelgrass
2017,5,Connecticut,61.87216939992119,eelgrass
2006,6,Maine,98.91607487970478,eelgrass
2007,6,Maine,97.30467830327756,eelgrass
2008,6,Maine,95.69328172685033,eelgrass
2009,6,Maine,94.08188515042309,eelgrass
2010,6,Maine,92.47048857399587,eelgrass
2011,6,Maine,92.47048857399587,eelgrass
2012,6,Maine,92.47048857399587,eelgrass
2013,6,Maine,92.47048857399587,eelgrass
2014,6,Maine,92.47048857399587,eelgrass
2015,6,Maine,92.47048857399587,eelgrass
2016,6,Maine,92.47048857399587,eelgrass
2017,6,Maine,92.47048857399587,eelgrass
2006,7,Massachusetts-North,90.00000000000001,eelgrass
2007,7,Massachusetts-North,91.55744616454808,eelgrass
2008,7,Massachusetts-North,93.11489232909616,eelgrass
2009,7,Massachusetts-North,94.67233849364425,eelgrass
2010,7,Massachusetts-North,96.22978465819232,eelgrass
2011,7,Massachusetts-North,96.22978465819232,eelgrass
2012,7,Massachusetts-North,96.22978465819232,eelgrass
2013,7,Massachusetts-North,96.22978465819232,eelgrass
2014,7,Massachusetts-North,96.22978465819232,eelgrass
2015,7,Massachusetts-North,96.22978465819232,eelgrass
2016,7,Massachusetts-North,96.22978465819232,eelgrass
2017,7,Massachusetts-North,96.22978465819232,eelgrass
2006,8,Massachusetts-South,89.28571428571428,eelgrass
2007,8,Massachusetts-South,90.80854403997674,eelgrass
2008,8,Massachusetts-South,92.3313737942392,eelgrass
2009,8,Massachusetts-South,93.85420354850167,eelgrass
2010,8,Massachusetts-South,95.37703330276413,eelgrass
2011,8,Massachusetts-South,95.37703330276413,eelgrass
2012,8,Massachusetts-South,95.37703330276413,eelgrass
2013,8,Massachusetts-South,95.37703330276413,eelgrass
2014,8,Massachusetts-South,95.37703330276413,eelgrass
2015,8,Massachusetts-South,95.37703330276413,eelgrass
2016,8,Massachusetts-South,95.37703330276413,eelgrass
2017,8,Massachusetts-South,95.37703330276413,eelgrass
2006,9,New Hampshire,68.75,eelgrass
2007,9,New Hampshire,68.5348684278862,eelgrass
2008,9,New Hampshire,68.31973685577239,eelgrass
2009,9,New Hampshire,68.1046052836586,eelgrass
2010,9,New Hampshire,67.8894737115448,eelgrass
2011,9,New Hampshire,67.8894737115448,eelgrass
2012,9,New Hampshire,67.8894737115448,eelgrass
2013,9,New Hampshire,67.8894737115448,eelgrass
2014,9,New Hampshire,67.8894737115448,eelgrass
2015,9,New Hampshire,67.8894737115448,eelgrass
2016,9,New Hampshire,67.8894737115448,eelgrass
2017,9,New Hampshire,67.8894737115448,eelgrass
2006,10,New York,75.13317848751296,eelgrass
2007,10,New York,74.65551657794268,eelgrass
2008,10,New York,74.17785466837239,eelgrass
2009,10,New York,73.7001927588021,eelgrass
2010,10,New York,73.22253084923182,eelgrass
2011,10,New York,73.22253084923182,eelgrass
2012,10,New York,73.22253084923182,eelgrass
2013,10,New York,73.22253084923182,eelgrass
2014,10,New York,73.22253084923182,eelgrass
2015,10,New York,73.22253084923182,eelgrass
2016,10,New York,73.22253084923182,eelgrass
2017,10,New York,73.22253084923182,eelgrass
2006,12,Northeast,83.09686607742384,eelgrass
2007,12,Northeast,83.87666534366507,eelgrass
2008,12,Northeast,84.6564646099063,eelgrass
2009,12,Northeast,85.43626387614754,eelgrass
2010,12,Northeast,86.21606314238876,eelgrass
2011,12,Northeast,86.21606314238876,eelgrass
2012,12,Northeast,86.21606314238876,eelgrass
2013,12,Northeast,86.21606314238876,eelgrass
2014,12,Northeast,86.21606314238876,eelgrass
2015,12,Northeast,86.21606314238876,eelgrass
2016,12,Northeast,86.21606314238876,eelgrass
2017,12,Northeast,86.21606314238876,eelgrass
2006,11,Rhode Island,78.06857696576634,eelgrass
2007,11,Rhode Island,81.7487950643569,eelgrass
2008,11,Rhode Island,85.42901316294746,eelgrass
2009,11,Rhode Island,89.10923126153801,eelgrass
2010,11,Rhode Island,92.78944936012857,eelgrass
2011,11,Rhode Island,92.78944936012857,eelgrass
2012,11,Rhode Island,92.78944936012857,eelgrass
2013,11,Rhode Island,92.78944936012857,eelgrass
2014,11,Rhode Island,92.78944936012857,eelgrass
2015,11,Rhode Island,92.78944936012857,eelgrass
2016,11,Rhode Island,92.78944936012857,eelgrass
2017,11,Rhode Island,92.78944936012857,eelgrass
2006,1,Offshore,NA,eelgrass
2006,2,Georges Bank,NA,eelgrass
2006,3,Gulf of Maine,NA,eelgrass
2006,4,Mid-Atlantic Bight,NA,eelgrass
2007,1,Offshore,NA,eelgrass
2007,2,Georges Bank,NA,eelgrass
2007,3,Gulf of Maine,NA,eelgrass
2007,4,Mid-Atlantic Bight,NA,eelgrass
2008,1,Offshore,NA,eelgrass
2008,2,Georges Bank,NA,eelgrass
2008,3,Gulf of Maine,NA,eelgrass
2008,4,Mid-Atlantic Bight,NA,eelgrass
2009,1,Offshore,NA,eelgrass
2009,2,Georges Bank,NA,eelgrass
2009,3,Gulf of Maine,NA,eelgrass
2009,4,Mid-Atlantic Bight,NA,eelgrass
2010,1,Offshore,NA,eelgrass
2010,2,Georges Bank,NA,eelgrass
2010,3,Gulf of Maine,NA,eelgrass
2010,4,Mid-Atlantic Bight,NA,eelgrass
2011,1,Offshore,NA,eelgrass
2011,2,Georges Bank,NA,eelgrass
2011,3,Gulf of Maine,NA,eelgrass
2011,4,Mid-Atlantic Bight,NA,eelgrass
2012,1,Offshore,NA,eelgrass
2012,2,Georges Bank,NA,eelgrass
2012,3,Gulf of Maine,NA,eelgrass
2012,4,Mid-Atlantic Bight,NA,eelgrass
2013,1,Offshore,NA,eelgrass
2013,2,Georges Bank,NA,eelgrass
2013,3,Gulf of Maine,NA,eelgrass
2013,4,Mid-Atlantic Bight,NA,eelgrass
2014,1,Offshore,NA,eelgrass
2014,2,Georges Bank,NA,eelgrass
2014,3,Gulf of Maine,NA,eelgrass
2014,4,Mid-Atlantic Bight,NA,eelgrass
2015,1,Offshore,NA,eelgrass
2015,2,Georges Bank,NA,eelgrass
2015,3,Gulf of Maine,NA,eelgrass
2015,4,Mid-Atlantic Bight,NA,eelgrass
2016,1,Offshore,NA,eelgrass
2016,2,Georges Bank,NA,eelgrass
2016,3,Gulf of Maine,NA,eelgrass
2016,4,Mid-Atlantic Bight,NA,eelgrass
2017,1,Offshore,NA,eelgrass
2017,2,Georges Bank,NA,eelgrass
2017,3,Gulf of Maine,NA,eelgrass
2017,4,Mid-Atlantic Bight,NA,eelgrass
