rgn_id,score,year,habitat,rgn_name
1,0.04270924851460261,2004,seabed,Offshore
2,0.3289326695019524,2004,seabed,Georges Bank
3,0.4069099413275032,2004,seabed,Gulf of Maine
4,0.3609456078239722,2004,seabed,Mid-Atlantic Bight
5,0.17375269594506831,2004,seabed,Connecticut
6,0.19811350511137377,2004,seabed,Maine
7,0.5394006253492534,2004,seabed,Massachusetts-North
8,0.41489700088953785,2004,seabed,Massachusetts-South
9,0.5227912772634176,2004,seabed,New Hampshire
10,0.44652758270701987,2004,seabed,New York
11,0.6238273781117177,2004,seabed,Rhode Island
1,0.039712226507301024,2005,seabed,Offshore
2,0.33254909657197307,2005,seabed,Georges Bank
3,0.40046065270628334,2005,seabed,Gulf of Maine
4,0.35266588927801995,2005,seabed,Mid-Atlantic Bight
5,0.16481035526124682,2005,seabed,Connecticut
6,0.1942650861844191,2005,seabed,Maine
7,0.5162115337967537,2005,seabed,Massachusetts-North
8,0.40116888992280214,2005,seabed,Massachusetts-South
9,0.5079404809954446,2005,seabed,New Hampshire
10,0.4369439559319863,2005,seabed,New York
11,0.612475053686814,2005,seabed,Rhode Island
1,0.03857217233619473,2006,seabed,Offshore
2,0.34075990821616176,2006,seabed,Georges Bank
3,0.38386286793087676,2006,seabed,Gulf of Maine
4,0.36449108744057196,2006,seabed,Mid-Atlantic Bight
5,0.1642061967655521,2006,seabed,Connecticut
6,0.18239563654940724,2006,seabed,Maine
7,0.47011881902896246,2006,seabed,Massachusetts-North
8,0.3889452892059049,2006,seabed,Massachusetts-South
9,0.4522799240144271,2006,seabed,New Hampshire
10,0.4300489288215124,2006,seabed,New York
11,0.6205780556620649,2006,seabed,Rhode Island
1,0.037965755294228916,2007,seabed,Offshore
2,0.341750769927808,2007,seabed,Georges Bank
3,0.361922264103488,2007,seabed,Gulf of Maine
4,0.3638822749396504,2007,seabed,Mid-Atlantic Bight
5,0.16120389460036505,2007,seabed,Connecticut
6,0.17823351878750382,2007,seabed,Maine
7,0.4217871376757315,2007,seabed,Massachusetts-North
8,0.3681403705832895,2007,seabed,Massachusetts-South
9,0.4213102289251775,2007,seabed,New Hampshire
10,0.4286112602250076,2007,seabed,New York
11,0.6185641833853975,2007,seabed,Rhode Island
1,0.03465011660048173,2008,seabed,Offshore
2,0.321512558758421,2008,seabed,Georges Bank
3,0.34378043260462327,2008,seabed,Gulf of Maine
4,0.35399388763163364,2008,seabed,Mid-Atlantic Bight
5,0.14568870209694074,2008,seabed,Connecticut
6,0.1812701763610575,2008,seabed,Maine
7,0.39988892380507546,2008,seabed,Massachusetts-North
8,0.3589988132567596,2008,seabed,Massachusetts-South
9,0.41377012872829116,2008,seabed,New Hampshire
10,0.39621211224770936,2008,seabed,New York
11,0.596010346051643,2008,seabed,Rhode Island
1,0.031233543353357245,2009,seabed,Offshore
2,0.3030388539660949,2009,seabed,Georges Bank
3,0.3315957790169769,2009,seabed,Gulf of Maine
4,0.33611456804681256,2009,seabed,Mid-Atlantic Bight
5,0.12303376262310965,2009,seabed,Connecticut
6,0.1652894384643198,2009,seabed,Maine
7,0.3812242544205338,2009,seabed,Massachusetts-North
8,0.3595027109403401,2009,seabed,Massachusetts-South
9,0.3837949154929742,2009,seabed,New Hampshire
10,0.3468054964405033,2009,seabed,New York
11,0.5600218712079271,2009,seabed,Rhode Island
1,0.028950935965416584,2010,seabed,Offshore
2,0.288373900667737,2010,seabed,Georges Bank
3,0.3229524910056708,2010,seabed,Gulf of Maine
4,0.32076804414769255,2010,seabed,Mid-Atlantic Bight
5,0.10599123827088883,2010,seabed,Connecticut
6,0.17979448010627602,2010,seabed,Maine
7,0.36868345131459107,2010,seabed,Massachusetts-North
8,0.35393684592992847,2010,seabed,Massachusetts-South
9,0.3895874218234803,2010,seabed,New Hampshire
10,0.3370326846142098,2010,seabed,New York
11,0.5608876207396785,2010,seabed,Rhode Island
1,0.027482966033897813,2011,seabed,Offshore
2,0.27709449475273906,2011,seabed,Georges Bank
3,0.3078891889874226,2011,seabed,Gulf of Maine
4,0.32210937681038576,2011,seabed,Mid-Atlantic Bight
5,0.09074858698343802,2011,seabed,Connecticut
6,0.18396866304648588,2011,seabed,Maine
7,0.34715607137761,2011,seabed,Massachusetts-North
8,0.34548468577850633,2011,seabed,Massachusetts-South
9,0.4426569119512036,2011,seabed,New Hampshire
10,0.3308437235403369,2011,seabed,New York
11,0.5661304939809532,2011,seabed,Rhode Island
1,0.02550442589133687,2012,seabed,Offshore
2,0.2764772223373052,2012,seabed,Georges Bank
3,0.3160911173622734,2012,seabed,Gulf of Maine
