"","rgn_id","rgn_name","year","common","score"
"1",5,"5",2005,"alewife",0.6
"2",5,"5",2006,"alewife",0.6
"3",5,"5",2007,"alewife",0.6
"4",5,"5",2008,"alewife",0.6
"5",5,"5",2009,"alewife",0.6
"6",5,"5",2010,"alewife",0.6
"7",5,"5",2011,"alewife",0.6
"8",5,"5",2012,"alewife",0.6
"9",5,"5",2013,"alewife",0.6
"10",5,"5",2014,"alewife",0.6
"11",5,"5",2015,"alewife",0.6
"12",5,"5",2016,"alewife",0.6
"13",5,"5",2017,"alewife",0.6
"14",6,"6",2005,"alewife",1
"15",6,"6",2006,"alewife",1
"16",6,"6",2007,"alewife",1
"17",6,"6",2008,"alewife",1
"18",6,"6",2009,"alewife",1
"19",6,"6",2010,"alewife",1
"20",6,"6",2011,"alewife",1
"21",6,"6",2012,"alewife",1
"22",6,"6",2013,"alewife",1
"23",6,"6",2014,"alewife",1
"24",6,"6",2015,"alewife",1
"25",6,"6",2016,"alewife",1
"26",6,"6",2017,"alewife",1
"27",7,"7",2005,"alewife",0.7
"28",7,"7",2006,"alewife",0.7
"29",7,"7",2007,"alewife",0.7
"30",7,"7",2008,"alewife",0.7
"31",7,"7",2009,"alewife",0.7
"32",7,"7",2010,"alewife",0.7
"33",7,"7",2011,"alewife",0.7
"34",7,"7",2012,"alewife",0.7
"35",7,"7",2013,"alewife",0.7
"36",7,"7",2014,"alewife",0.7
"37",7,"7",2015,"alewife",0.7
"38",7,"7",2016,"alewife",0.7
"39",7,"7",2017,"alewife",0.7
"40",8,"8",2005,"alewife",0.7
"41",8,"8",2006,"alewife",0.7
"42",8,"8",2007,"alewife",0.7
"43",8,"8",2008,"alewife",0.7
"44",8,"8",2009,"alewife",0.7
"45",8,"8",2010,"alewife",0.7
"46",8,"8",2011,"alewife",0.7
"47",8,"8",2012,"alewife",0.7
"48",8,"8",2013,"alewife",0.7
"49",8,"8",2014,"alewife",0.7
"50",8,"8",2015,"alewife",0.7
"51",8,"8",2016,"alewife",0.7
"52",8,"8",2017,"alewife",0.7
"53",9,"9",2005,"alewife",0.6
"54",9,"9",2006,"alewife",0.6
"55",9,"9",2007,"alewife",0.6
"56",9,"9",2008,"alewife",0.6
"57",9,"9",2009,"alewife",0.6
"58",9,"9",2010,"alewife",0.6
"59",9,"9",2011,"alewife",0.6
"60",9,"9",2012,"alewife",0.6
"61",9,"9",2013,"alewife",0.6
"62",9,"9",2014,"alewife",0.6
"63",9,"9",2015,"alewife",0.6
"64",9,"9",2016,"alewife",0.6
"65",9,"9",2017,"alewife",0.6
"66",10,"10",2005,"alewife",1
"67",10,"10",2006,"alewife",1
"68",10,"10",2007,"alewife",1
"69",10,"10",2008,"alewife",1
"70",10,"10",2009,"alewife",1
"71",10,"10",2010,"alewife",1
"72",10,"10",2011,"alewife",1
"73",10,"10",2012,"alewife",1
"74",10,"10",2013,"alewife",1
"75",10,"10",2014,"alewife",1
"76",10,"10",2015,"alewife",1
"77",10,"10",2016,"alewife",1
"78",10,"10",2017,"alewife",1
"79",11,"11",2005,"alewife",0.6
"80",11,"11",2006,"alewife",0.6
"81",11,"11",2007,"alewife",0.6
"82",11,"11",2008,"alewife",0.6
"83",11,"11",2009,"alewife",0.6
"84",11,"11",2010,"alewife",0.6
"85",11,"11",2011,"alewife",0.6
"86",11,"11",2012,"alewife",0.6
"87",11,"11",2013,"alewife",0.6
"88",11,"11",2014,"alewife",0.6
"89",11,"11",2015,"alewife",0.6
"90",11,"11",2016,"alewife",0.6
"91",11,"11",2017,"alewife",0.6
"92",12,"Northeast",2005,"alewife",1
"93",12,"Northeast",2005,"alewife",1
"94",12,"Northeast",2005,"alewife",1
"95",12,"Northeast",2006,"alewife",1
"96",12,"Northeast",2007,"alewife",1
"97",12,"Northeast",2008,"alewife",1
"98",12,"Northeast",2009,"alewife",1
"99",12,"Northeast",2010,"alewife",1
"100",12,"Northeast",2011,"alewife",1
"101",12,"Northeast",2012,"alewife",1
"102",12,"Northeast",2013,"alewife",1
"103",12,"Northeast",2014,"alewife",1
"104",12,"Northeast",2015,"alewife",1
"105",12,"Northeast",2016,"alewife",1
"106",12,"Northeast",2017,"alewife",1
"107",5,"5",2005,"american lobster",1
"108",5,"5",2006,"american lobster",1
"109",5,"5",2007,"american lobster",1
"110",5,"5",2008,"american lobster",1
"111",5,"5",2009,"american lobster",1
"112",5,"5",2010,"american lobster",1
"113",5,"5",2011,"american lobster",1
"114",5,"5",2012,"american lobster",1
"115",5,"5",2013,"american lobster",1
"116",5,"5",2014,"american lobster",1
"117",5,"5",2015,"american lobster",1
"118",5,"5",2016,"american lobster",1
"119",5,"5",2017,"american lobster",1
"120",6,"6",2005,"american lobster",1
"121",6,"6",2006,"american lobster",1
"122",6,"6",2007,"american lobster",1
"123",6,"6",2008,"american lobster",1
"124",6,"6",2009,"american lobster",1
"125",6,"6",2010,"american lobster",1
"126",6,"6",2011,"american lobster",1
"127",6,"6",2012,"american lobster",1
"128",6,"6",2013,"american lobster",1
"129",6,"6",2014,"american lobster",1
"130",6,"6",2015,"american lobster",1
"131",6,"6",2016,"american lobster",1
"132",6,"6",2017,"american lobster",1
"133",7,"7",2005,"american lobster",1
"134",7,"7",2006,"american lobster",1
"135",7,"7",2007,"american lobster",1
"136",7,"7",2008,"american lobster",1
"137",7,"7",2009,"american lobster",1
"138",7,"7",2010,"american lobster",1
"139",7,"7",2011,"american lobster",1
"140",7,"7",2012,"american lobster",1
"141",7,"7",2013,"american lobster",1
"142",7,"7",2014,"american lobster",1
"143",7,"7",2015,"american lobster",1
"144",7,"7",2016,"american lobster",1
"145",7,"7",2017,"american lobster",1
"146",8,"8",2005,"american lobster",1
"147",8,"8",2006,"american lobster",1
"148",8,"8",2007,"american lobster",1
"149",8,"8",2008,"american lobster",1
"150",8,"8",2009,"american lobster",1
"151",8,"8",2010,"american lobster",1
"152",8,"8",2011,"american lobster",1
"153",8,"8",2012,"american lobster",1
"154",8,"8",2013,"american lobster",1
"155",8,"8",2014,"american lobster",1
"156",8,"8",2015,"american lobster",1
"157",8,"8",2016,"american lobster",1
"158",8,"8",2017,"american lobster",1
"159",9,"9",2005,"american lobster",1
"160",9,"9",2006,"american lobster",1
"161",9,"9",2007,"american lobster",1
"162",9,"9",2008,"american lobster",1
"163",9,"9",2009,"american lobster",1
"164",9,"9",2010,"american lobster",1
"165",9,"9",2011,"american lobster",1
"166",9,"9",2012,"american lobster",1
"167",9,"9",2013,"american lobster",1
"168",9,"9",2014,"american lobster",1
"169",9,"9",2015,"american lobster",1
"170",9,"9",2016,"american lobster",1
"171",9,"9",2017,"american lobster",1
"172",10,"10",2005,"american lobster",1
"173",10,"10",2006,"american lobster",1
"174",10,"10",2007,"american lobster",1
"175",10,"10",2008,"american lobster",1
"176",10,"10",2009,"american lobster",1
"177",10,"10",2010,"american lobster",1
"178",10,"10",2011,"american lobster",1
"179",10,"10",2012,"american lobster",1
"180",10,"10",2013,"american lobster",1
"181",10,"10",2014,"american lobster",1
"182",10,"10",2015,"american lobster",1
"183",10,"10",2016,"american lobster",1
"184",10,"10",2017,"american lobster",1
"185",11,"11",2005,"american lobster",1
"186",11,"11",2006,"american lobster",1
"187",11,"11",2007,"american lobster",1
