"","year","rgn_name","rgn_id","score"
"1",2005,"Connecticut",5,0.306416862089446
"2",2005,"Maine",6,0.0652234213118292
"3",2005,"Massachusetts-North",7,0.0260802307839091
"4",2005,"Massachusetts-South",8,0.0260802307839091
"5",2005,"New Hampshire",9,0
"6",2005,"New York",10,0.0513672537069485
"7",2005,"Rhode Island",11,0.0163730163610388
"8",2006,"Connecticut",5,0.232416046610579
"9",2006,"Maine",6,0.0634555440734877
"10",2006,"Massachusetts-North",7,0.0260802307839091
"11",2006,"Massachusetts-South",8,0.0260802307839091
"12",2006,"New Hampshire",9,0
"13",2006,"New York",10,0.0485838063909564
"14",2006,"Rhode Island",11,0.0214614054943196
"15",2007,"Connecticut",5,0.298060460103869
"16",2007,"Maine",6,0.053876327935772
"17",2007,"Massachusetts-North",7,0.0260802307839091
"18",2007,"Massachusetts-South",8,0.0260802307839091
"19",2007,"New Hampshire",9,0
"20",2007,"New York",10,0.0516860582158136
"21",2007,"Rhode Island",11,0.0274423343130342
"22",2008,"Connecticut",5,0.377546709432178
"23",2008,"Maine",6,0.0646680474277779
"24",2008,"Massachusetts-North",7,0.0260802307839091
"25",2008,"Massachusetts-South",8,0.0260802307839091
"26",2008,"New Hampshire",9,0
"27",2008,"New York",10,0.0545649009210523
"28",2008,"Rhode Island",11,0.0322927898089454
"29",2009,"Connecticut",5,0.451509979459492
"30",2009,"Maine",6,0.0670516529714963
"31",2009,"Massachusetts-North",7,0.0260802307839091
"32",2009,"Massachusetts-South",8,0.0260802307839091
"33",2009,"New Hampshire",9,0
"34",2009,"New York",10,0.0534286604136796
"35",2009,"Rhode Island",11,0.0342227451460261
"36",2010,"Connecticut",5,0.482600360172079
"37",2010,"Maine",6,0.08475855335199
"38",2010,"Massachusetts-North",7,0.0287370619959928
"39",2010,"Massachusetts-South",8,0.0287370619959928
"40",2010,"New Hampshire",9,0
"41",2010,"New York",10,0.0465468479905371
"42",2010,"Rhode Island",11,0.038029017415016
"43",2011,"Connecticut",5,0.496496916593859
"44",2011,"Maine",6,0.0872012767510415
"45",2011,"Massachusetts-North",7,0.0305023790995837
"46",2011,"Massachusetts-South",8,0.0305023790995837
"47",2011,"New Hampshire",9,0
"48",2011,"New York",10,0.039134819745697
"49",2011,"Rhode Island",11,0.0439507641599246
"50",2012,"Connecticut",5,0.5
"51",2012,"Maine",6,0.0990006322014671
"52",2012,"Massachusetts-North",7,0.0372281352440487
"53",2012,"Massachusetts-South",8,0.0372281352440487
"54",2012,"New Hampshire",9,0
"55",2012,"New York",10,0.0401861386033085
"56",2012,"Rhode Island",11,0.050224530660801
"57",2013,"Connecticut",5,0.495883698213185
"58",2013,"Maine",6,0.101623816027535
"59",2013,"Massachusetts-North",7,0.0493573063566769
"60",2013,"Massachusetts-South",8,0.0493573063566769
"61",2013,"New Hampshire",9,0.00564578369216184
"62",2013,"New York",10,0.0556070940602256
"63",2013,"Rhode Island",11,0.0627158124716267
"64",2014,"Connecticut",5,0.491767396426369
"65",2014,"Maine",6,0.10815629188373
"66",2014,"Massachusetts-North",7,0.0651245753338774
"67",2014,"Massachusetts-South",8,0.0651245753338774
"68",2014,"New Hampshire",9,0.00815996841507954
"69",2014,"New York",10,0.0810708259148502
"70",2014,"Rhode Island",11,0.0775122486349995
"71",2015,"Connecticut",5,0.487651094639554
"72",2015,"Maine",6,0.117471016070864
"73",2015,"Massachusetts-North",7,0.0771212452316141
"74",2015,"Massachusetts-South",8,0.0771212452316141
"75",2015,"New Hampshire",9,0.0102336920746301
"76",2015,"New York",10,0.0918399930891365
"77",2015,"Rhode Island",11,0.0944008215142309
"78",2016,"Connecticut",5,0.483534792852739
"79",2016,"Maine",6,0.124525135278805
"80",2016,"Massachusetts-North",7,0.0882416897955052
"81",2016,"Massachusetts-South",8,0.0882416897955052
"82",2016,"New Hampshire",9,0.0126316137863415
"83",2016,"New York",10,0.0878992147915755
"84",2016,"Rhode Island",11,0.100522865129255
"85",2017,"Connecticut",5,0.471896056070868
"86",2017,"Maine",6,0.130648096742981
"87",2017,"Massachusetts-North",7,0.101624629881901
"88",2017,"Massachusetts-South",8,0.101624629881901
"89",2017,"New Hampshire",9,0.0166952850499667
"90",2017,"New York",10,0.069245221574219
"91",2017,"Rhode Island",11,0.104294414137305
"92",2005,"Gulf of Maine",3,NA
"93",2006,"Gulf of Maine",3,NA
"94",2007,"Gulf of Maine",3,NA
"95",2008,"Gulf of Maine",3,NA
"96",2009,"Gulf of Maine",3,NA
"97",2010,"Gulf of Maine",3,NA
"98",2011,"Gulf of Maine",3,NA
"99",2012,"Gulf of Maine",3,NA
"100",2013,"Gulf of Maine",3,NA
"101",2014,"Gulf of Maine",3,NA
"102",2015,"Gulf of Maine",3,NA
"103",2016,"Gulf of Maine",3,NA
"104",2017,"Gulf of Maine",3,NA
"105",2005,"Georges Bank",2,NA
"106",2006,"Georges Bank",2,NA
"107",2007,"Georges Bank",2,NA
"108",2008,"Georges Bank",2,NA
"109",2009,"Georges Bank",2,NA
