"","year","rgn_name","rgn_id","score"
"1",2005,"Connecticut",5,0.304383838557591
"2",2005,"Maine",6,0.0512005196404621
"3",2005,"Massachusetts-North",7,0.0261440263061249
"4",2005,"Massachusetts-South",8,0.0261440263061249
"5",2005,"New Hampshire",9,0
"6",2005,"New York",10,0.0511950678703551
"7",2005,"Rhode Island",11,0.0164521847511491
"8",2006,"Connecticut",5,0.231106631849594
"9",2006,"Maine",6,0.0503905257900715
"10",2006,"Massachusetts-North",7,0.0261440263061249
"11",2006,"Massachusetts-South",8,0.0261440263061249
"12",2006,"New Hampshire",9,0
"13",2006,"New York",10,0.0483512499785284
"14",2006,"Rhode Island",11,0.0215649702168632
"15",2007,"Connecticut",5,0.29690414735227
"16",2007,"Maine",6,0.044121823918016
"17",2007,"Massachusetts-North",7,0.0261440263061249
"18",2007,"Massachusetts-South",8,0.0261440263061249
"19",2007,"New Hampshire",9,0
"20",2007,"New York",10,0.0514027391716319
"21",2007,"Rhode Island",11,0.0275750883231827
"22",2008,"Connecticut",5,0.376601087398126
"23",2008,"Maine",6,0.0522468370589166
"24",2008,"Massachusetts-North",7,0.0261440263061249
"25",2008,"Massachusetts-South",8,0.0261440263061249
"26",2008,"New Hampshire",9,0
"27",2008,"New York",10,0.0542797336561536
"28",2008,"Rhode Island",11,0.0324494109047247
"29",2009,"Connecticut",5,0.450795770438266
"30",2009,"Maine",6,0.0535716543263464
"31",2009,"Massachusetts-North",7,0.0261440263061249
"32",2009,"Massachusetts-South",8,0.0261440263061249
"33",2009,"New Hampshire",9,0
"34",2009,"New York",10,0.0531530059934209
"35",2009,"Rhode Island",11,0.0343892082183536
"36",2010,"Connecticut",5,0.482164853671664
"37",2010,"Maine",6,0.0661145870524434
"38",2010,"Massachusetts-North",7,0.0287352093454242
"39",2010,"Massachusetts-South",8,0.0287352093454242
"40",2010,"New Hampshire",9,0
"41",2010,"New York",10,0.046303187811904
"42",2010,"Rhode Island",11,0.0382138935658581
"43",2011,"Connecticut",5,0.496317338816954
"44",2011,"Maine",6,0.067037780676851
"45",2011,"Massachusetts-North",7,0.0304905807124503
"46",2011,"Massachusetts-South",8,0.0304905807124503
"47",2011,"New Hampshire",9,0
"48",2011,"New York",10,0.0389201927117482
"49",2011,"Rhode Island",11,0.0441642804401252
"50",2012,"Connecticut",5,0.5
"51",2012,"Maine",6,0.0752873716335338
"52",2012,"Massachusetts-North",7,0.0372491396407789
"53",2012,"Massachusetts-South",8,0.0372491396407789
"54",2012,"New Hampshire",9,0
