"","year","rgn_name","rgn_id","score"
"1",2005,"Connecticut","5",0.707092061527203
"2",2006,"Connecticut","5",0.720823576877775
"3",2007,"Connecticut","5",0.694348820478727
"4",2008,"Connecticut","5",0.693658513095348
"5",2009,"Connecticut","5",0.696947315410115
"6",2010,"Connecticut","5",0.645784909327499
"7",2011,"Connecticut","5",0.66051885331427
"8",2012,"Connecticut","5",0.656101965719585
"9",2013,"Connecticut","5",0.659735250454219
"10",2014,"Connecticut","5",0.658863896578371
"11",2015,"Connecticut","5",0.64498901514837
"12",2016,"Connecticut","5",0.652015772413887
"13",2017,"Connecticut","5",0.647365448507533
"14",2005,"Maine","6",0.675024703557312
"15",2006,"Maine","6",0.675024703557312
"16",2007,"Maine","6",0.66695652173913
"17",2008,"Maine","6",0.66695652173913
"18",2009,"Maine","6",0.71695652173913
"19",2010,"Maine","6",0.72195652173913
"20",2011,"Maine","6",0.71945652173913
"21",2012,"Maine","6",0.68195652173913
"22",2013,"Maine","6",0.70195652173913
"23",2014,"Maine","6",0.69945652173913
"24",2015,"Maine","6",0.70445652173913
"25",2016,"Maine","6",0.712422050185574
"26",2017,"Maine","6",0.71445652173913
"27",2005,"Massachusetts-North","7",0.721314871684934
"28",2006,"Massachusetts-North","7",0.761072267303606
"29",2007,"Massachusetts-North","7",0.661911978960099
"30",2008,"Massachusetts-North","7",0.656320664717794
"31",2009,"Massachusetts-North","7",0.730098305569873
"32",2010,"Massachusetts-North","7",0.74104980938523
"33",2011,"Massachusetts-North","7",0.741496262326308
"34",2012,"Massachusetts-North","7",0.725448119079411
"35",2013,"Massachusetts-North","7",0.717100192958926
"36",2014,"Massachusetts-North","7",0.716931671571989
"37",2015,"Massachusetts-North","7",0.713292762715349
"38",2016,"Massachusetts-North","7",0.717623494092793
"39",2017,"Massachusetts-North","7",0.716057067218431
"40",2005,"Massachusetts-South","8",0.721314871684934
"41",2006,"Massachusetts-South","8",0.761072267303606
"42",2007,"Massachusetts-South","8",0.661911978960099
"43",2008,"Massachusetts-South","8",0.656320664717794
"44",2009,"Massachusetts-South","8",0.730098305569873
"45",2010,"Massachusetts-South","8",0.74104980938523
"46",2011,"Massachusetts-South","8",0.741496262326308
"47",2012,"Massachusetts-South","8",0.725448119079411
"48",2013,"Massachusetts-South","8",0.717100192958926
"49",2014,"Massachusetts-South","8",0.716931671571989
"50",2015,"Massachusetts-South","8",0.713292762715349
"51",2016,"Massachusetts-South","8",0.717623494092793
"52",2017,"Massachusetts-South","8",0.716057067218431
"53",2005,"New Hampshire","9",0.647603754940711
"54",2006,"New Hampshire","9",0.640641328849501
"55",2007,"New Hampshire","9",0.622954034711543
"56",2008,"New Hampshire","9",0.635526178832516
"57",2009,"New Hampshire","9",0.680217391304348
"58",2010,"New Hampshire","9",0.663880796901872
"59",2011,"New Hampshire","9",0.677281194262071
"60",2012,"New Hampshire","9",0.657085815713827
"61",2013,"New Hampshire","9",0.651230926592778
"62",2014,"New Hampshire","9",0.650475422404256
"63",2015,"New Hampshire","9",0.659565447062967
"64",2016,"New Hampshire","9",0.636039466639241
"65",2017,"New Hampshire","9",0.641320547920548
"66",2005,"New York","10",0.701515060192569
"67",2006,"New York","10",0.711593880752864
"68",2007,"New York","10",0.700288716924511
"69",2008,"New York","10",0.708322624297943
"70",2009,"New York","10",0.702995432313129
"71",2010,"New York","10",0.694385627886399
"72",2011,"New York","10",0.711495757519814
"73",2012,"New York","10",0.695925243847136
"74",2013,"New York","10",0.688039942312524
"75",2014,"New York","10",0.660920502141133
"76",2015,"New York","10",0.641952373829
"77",2016,"New York","10",0.652205022155192
"78",2017,"New York","10",0.653484301947926
"79",2005,"Rhode Island","11",0.547603507161882
"80",2006,"Rhode Island","11",0.634070425915233
"81",2007,"Rhode Island","11",0.613588033001566
"82",2008,"Rhode Island","11",0.598353401530305
"83",2009,"Rhode Island","11",0.59476411192219
"84",2010,"Rhode Island","11",0.5943793737885
"85",2011,"Rhode Island","11",0.600702397168519
"86",2012,"Rhode Island","11",0.589529039549527
"87",2013,"Rhode Island","11",0.601139954575724
"88",2014,"Rhode Island","11",0.605658861927216
"89",2015,"Rhode Island","11",0.589579561473906
"90",2016,"Rhode Island","11",0.620075331200375
"91",2017,"Rhode Island","11",0.632958581853645
"92",2005,"Gulf of Maine","3",NA
"93",2006,"Gulf of Maine","3",NA
"94",2007,"Gulf of Maine","3",NA
"95",2008,"Gulf of Maine","3",NA
"96",2009,"Gulf of Maine","3",NA
"97",2010,"Gulf of Maine","3",NA
"98",2011,"Gulf of Maine","3",NA
"99",2012,"Gulf of Maine","3",NA
"100",2013,"Gulf of Maine","3",NA
"101",2014,"Gulf of Maine","3",NA
"102",2015,"Gulf of Maine","3",NA
"103",2016,"Gulf of Maine","3",NA
"104",2017,"Gulf of Maine","3",NA
"105",2005,"Georges Bank","2",NA
"106",2006,"Georges Bank","2",NA
"107",2007,"Georges Bank","2",NA
"108",2008,"Georges Bank","2",NA
"109",2009,"Georges Bank","2",NA
"110",2010,"Georges Bank","2",NA
"111",2011,"Georges Bank","2",NA
"112",2012,"Georges Bank","2",NA
"113",2013,"Georges Bank","2",NA
"114",2014,"Georges Bank","2",NA
"115",2015,"Georges Bank","2",NA
"116",2016,"Georges Bank","2",NA
"117",2017,"Georges Bank","2",NA
"118",2005,"Mid-Atlantic Bight","4",NA
"119",2006,"Mid-Atlantic Bight","4",NA
"120",2007,"Mid-Atlantic Bight","4",NA
"121",2008,"Mid-Atlantic Bight","4",NA
"122",2009,"Mid-Atlantic Bight","4",NA
"123",2010,"Mid-Atlantic Bight","4",NA
"124",2011,"Mid-Atlantic Bight","4",NA
"125",2012,"Mid-Atlantic Bight","4",NA
"126",2013,"Mid-Atlantic Bight","4",NA
"127",2014,"Mid-Atlantic Bight","4",NA
"128",2015,"Mid-Atlantic Bight","4",NA
"129",2016,"Mid-Atlantic Bight","4",NA
"130",2017,"Mid-Atlantic Bight","4",NA
"131",2005,"Offshore","1",NA
"132",2006,"Offshore","1",NA
"133",2007,"Offshore","1",NA
"134",2008,"Offshore","1",NA
"135",2009,"Offshore","1",NA
"136",2010,"Offshore","1",NA
"137",2011,"Offshore","1",NA
"138",2012,"Offshore","1",NA
"139",2013,"Offshore","1",NA
"140",2014,"Offshore","1",NA
"141",2015,"Offshore","1",NA
