"","year","rgn_id","rgn_name","score"
"1",2005,12,"Northeast",0.71352633762341
"2",2006,12,"Northeast",0.713350017398208
"3",2007,12,"Northeast",0.713165346894794
"4",2008,12,"Northeast",0.712806013695361
"5",2009,12,"Northeast",0.71275547126685
"6",2010,12,"Northeast",0.712749812744118
"7",2011,12,"Northeast",0.713061395053963
"8",2012,12,"Northeast",0.713369425945607
"9",2013,12,"Northeast",0.713246536742526
"10",2014,12,"Northeast",0.708974923580877
"11",2015,12,"Northeast",0.718267568514245
"12",2016,12,"Northeast",0.794243158957095
"13",2017,12,"Northeast",0.730219207499767
"14",2005,5,"Connecticut",0.605042379911657
"15",2005,2,"Georges Bank",0.687382847909232
"16",2005,3,"Gulf of Maine",0.603752017932058
"17",2005,6,"Maine",0.603253646425654
"18",2005,7,"Massachusetts-North",0.609856161360755
"19",2005,8,"Massachusetts-South",0.60097782383175
"20",2005,4,"Mid-Atlantic Bight",0.615616009685143
"21",2005,9,"New Hampshire",0.649546124560578
"22",2005,10,"New York",0.613491732137687
"23",2005,1,"Offshore",0.602629185439102
"24",2005,11,"Rhode Island",0.604465633065974
"25",2006,5,"Connecticut",0.605338779926641
"26",2006,2,"Georges Bank",0.687126409697834
"27",2006,3,"Gulf of Maine",0.603597166340125
"28",2006,6,"Maine",0.603253381565434
"29",2006,7,"Massachusetts-North",0.609918910955275
"30",2006,8,"Massachusetts-South",0.600506290300499
"31",2006,4,"Mid-Atlantic Bight",0.615984077257865
"32",2006,9,"New Hampshire",0.649311369307254
"33",2006,10,"New York",0.613793852712082
"34",2006,1,"Offshore",0.602446950021444
"35",2006,11,"Rhode Island",0.604474189522421
"36",2007,5,"Connecticut",0.604392859737885
"37",2007,2,"Georges Bank",0.687237704217225
"38",2007,3,"Gulf of Maine",0.603287587189528
"39",2007,6,"Maine",0.602245637578551
"40",2007,7,"Massachusetts-North",0.609670092739368
"41",2007,8,"Massachusetts-South",0.601001537406037
"42",2007,4,"Mid-Atlantic Bight",0.615753795605346
"43",2007,9,"New Hampshire",0.645289501991564
"44",2007,10,"New York",0.613125556767635
"45",2007,1,"Offshore",0.602244784830297
"46",2007,11,"Rhode Island",0.604135694984376
"47",2008,5,"Connecticut",0.605682777951358
"48",2008,2,"Georges Bank",0.686919110262093
"49",2008,3,"Gulf of Maine",0.603163560118458
"50",2008,6,"Maine",0.602004392480993
"51",2008,7,"Massachusetts-North",0.609869013026824
"52",2008,8,"Massachusetts-South",0.598874786478694
"53",2008,4,"Mid-Atlantic Bight",0.614218827013932
"54",2008,9,"New Hampshire",0.646138871559744
"55",2008,10,"New York",0.613408699223134
"56",2008,1,"Offshore",0.600436025605609
"57",2008,11,"Rhode Island",0.604531110401851
"58",2009,5,"Connecticut",0.60547116851679
"59",2009,2,"Georges Bank",0.686384923834711
"60",2009,3,"Gulf of Maine",0.603775547654716
"61",2009,6,"Maine",0.602930616119314
"62",2009,7,"Massachusetts-North",0.609909685227291
"63",2009,8,"Massachusetts-South",0.599548303499579
"64",2009,4,"Mid-Atlantic Bight",0.612944049003285
"65",2009,9,"New Hampshire",0.649803946080462
"66",2009,10,"New York",0.612651379800919
"67",2009,1,"Offshore",0.601152287089845
"68",2009,11,"Rhode Island",0.604672720893842
"69",2010,5,"Connecticut",0.605197874230352
"70",2010,2,"Georges Bank",0.687245796714203
"71",2010,3,"Gulf of Maine",0.602693393029601
"72",2010,6,"Maine",0.59771917082523
"73",2010,7,"Massachusetts-North",0.609686504821849
"74",2010,8,"Massachusetts-South",0.598997481891807
"75",2010,4,"Mid-Atlantic Bight",0.613923482218965
"76",2010,9,"New Hampshire",0.642083390105052
"77",2010,10,"New York",0.613741689860714
"78",2010,1,"Offshore",0.602200401221541
"79",2010,11,"Rhode Island",0.604349961188559
"80",2011,5,"Connecticut",0.604204514371188
"81",2011,2,"Georges Bank",0.68741538152883
"82",2011,3,"Gulf of Maine",0.603353034694396
"83",2011,6,"Maine",0.601617870806811
"84",2011,7,"Massachusetts-North",0.609427695598587
"85",2011,8,"Massachusetts-South",0.59860433552174
