"","year","rgn_id","rgn_name","score"
"1",2015,1,"Offshore",0.797413591597616
"2",2016,1,"Offshore",0.897701291809821
"3",2017,1,"Offshore",0.800422842838619
"4",2015,2,"Georges Bank",0.551449329453752
"5",2016,2,"Georges Bank",0.651737029665956
"6",2017,2,"Georges Bank",0.554458580694754
"7",2015,3,"Gulf of Maine",0.531701462532152
"8",2016,3,"Gulf of Maine",0.631989162744357
"9",2017,3,"Gulf of Maine",0.534710713773155
"10",2015,4,"Mid-Atlantic Bight",0.476825463489672
"11",2016,4,"Mid-Atlantic Bight",0.577113163701876
"12",2017,4,"Mid-Atlantic Bight",0.479834714730674
"13",2015,6,"Maine",0.58954597391465
"14",2016,6,"Maine",0.689833674126854
"15",2017,6,"Maine",0.592555225155652
"16",2015,12,"Northeast",0.690655958554485
"17",2016,12,"Northeast",0.79094365876669
"18",2017,12,"Northeast",0.693665209795488
"19",2015,9,"New Hampshire",0.589080258264283
"20",2016,9,"New Hampshire",0.689367958476487
"21",2017,9,"New Hampshire",0.592089509505285
"22",2015,7,"Massachusetts-North",0.602969147153172
"23",2016,7,"Massachusetts-North",0.703256847365376
"24",2017,7,"Massachusetts-North",0.605978398394174
"25",2015,8,"Massachusetts-South",0.602969147153172
"26",2016,8,"Massachusetts-South",0.703256847365376
"27",2017,8,"Massachusetts-South",0.605978398394174
"28",2015,11,"Rhode Island",0.575191369375394
"29",2016,11,"Rhode Island",0.675479069587599
"30",2017,11,"Rhode Island",0.578200620616397
"31",2015,5,"Connecticut",0.575191369375394
"32",2016,5,"Connecticut",0.675479069587599
"33",2017,5,"Connecticut",0.578200620616397
"34",2015,10,"New York",0.589080258264283
"35",2016,10,"New York",0.689367958476487
"36",2017,10,"New York",0.592089509505285
