"","year","rgn_id","rgn_name","score"
"1",2005,5,"Connecticut",0.64824081468002
"2",2006,5,"Connecticut",0.65699081468002
"3",2007,5,"Connecticut",0.63249081468002
"4",2008,5,"Connecticut",0.69699081468002
"5",2009,5,"Connecticut",0.68824081468002
"6",2010,5,"Connecticut",0.593564985196016
"7",2011,5,"Connecticut",0.689326587261711
"8",2012,5,"Connecticut",0.666690024877982
"9",2013,5,"Connecticut",0.682123098959007
"10",2014,5,"Connecticut",0.634298333427597
"11",2015,5,"Connecticut",0.656277811988807
"12",2016,5,"Connecticut",0.641526640223174
"13",2017,5,"Connecticut",0.631276640223174
"14",2005,6,"Maine",0.574043895764919
"15",2006,6,"Maine",0.592043895764919
"16",2007,6,"Maine",0.623793895764919
"17",2008,6,"Maine",0.643793895764919
"18",2009,6,"Maine",0.585043895764919
"19",2010,6,"Maine",0.404232574448406
"20",2011,6,"Maine",0.551848015331701
"21",2012,6,"Maine",0.582705914726321
"22",2013,6,"Maine",0.611514586116616
"23",2014,6,"Maine",0.523709134011272
"24",2015,6,"Maine",0.58656386755498
"25",2016,6,"Maine",0.579196239545227
"26",2017,6,"Maine",0.520446239545227
"27",2005,7,"Massachusetts-North",0.715555199215982
"28",2006,7,"Massachusetts-North",0.694805199215982
"29",2007,7,"Massachusetts-North",0.708305199215982
"30",2008,7,"Massachusetts-North",0.652305199215982
"31",2009,7,"Massachusetts-North",0.725055199215982
"32",2010,7,"Massachusetts-North",0.577753991668281
"33",2011,7,"Massachusetts-North",0.657317665848051
"34",2012,7,"Massachusetts-North",0.68630823567839
"35",2013,7,"Massachusetts-North",0.739653677676614
"36",2014,7,"Massachusetts-North",0.713843316731697
"37",2015,7,"Massachusetts-North",0.71725894969515
"38",2016,7,"Massachusetts-North",0.704784609578877
"39",2017,7,"Massachusetts-North",0.697784609578877
"40",2005,8,"Massachusetts-South",0.698039335289125
"41",2006,8,"Massachusetts-South",0.677289335289124
"42",2007,8,"Massachusetts-South",0.690789335289125
"43",2008,8,"Massachusetts-South",0.634789335289125
"44",2009,8,"Massachusetts-South",0.707539335289124
"45",2010,8,"Massachusetts-South",0.561558562907705
"46",2011,8,"Massachusetts-South",0.639904358612244
"47",2012,8,"Massachusetts-South",0.668820188475159
"48",2013,8,"Massachusetts-South",0.719732503711721
"49",2014,8,"Massachusetts-South",0.698821240794459
"50",2015,8,"Massachusetts-South",0.705246120069579
"51",2016,8,"Massachusetts-South",0.693620372089032
"52",2017,8,"Massachusetts-South",0.686620372089032
"53",2005,9,"New Hampshire",0.579564307057429
"54",2006,9,"New Hampshire",0.59781430705743
"55",2007,9,"New Hampshire",0.613564307057429
"56",2008,9,"New Hampshire",0.52231430705743
"57",2009,9,"New Hampshire",0.61531430705743
"58",2010,9,"New Hampshire",0.583609041001765
"59",2011,9,"New Hampshire",0.614796190909288
"60",2012,9,"New Hampshire",0.632087753104829
"61",2013,9,"New Hampshire",0.660250587276625
