"","year","rgn_id","rgn_name","score"
"1",2005,5,"Connecticut",0.814350192486393
"2",2006,5,"Connecticut",0.834262577990176
"3",2007,5,"Connecticut",0.843687773795301
"4",2008,5,"Connecticut",0.844617018452144
"5",2009,5,"Connecticut",0.846077260055755
"6",2010,5,"Connecticut",0.843953272268684
"7",2011,5,"Connecticut",0.838908801274393
"8",2012,5,"Connecticut",0.835324571883712
"9",2013,5,"Connecticut",0.830943847072879
"10",2014,5,"Connecticut",0.841696535244922
"11",2015,5,"Connecticut",0.860148679145095
"12",2016,5,"Connecticut",0.847404752422674
"13",2017,5,"Connecticut",0.848864994026284
"14",2005,2,"Geroges Bank",NA
"15",2006,2,"Geroges Bank",NA
"16",2007,2,"Geroges Bank",NA
"17",2008,2,"Geroges Bank",NA
"18",2009,2,"Geroges Bank",NA
"19",2010,2,"Geroges Bank",NA
"20",2011,2,"Geroges Bank",NA
"21",2012,2,"Geroges Bank",NA
"22",2013,2,"Geroges Bank",NA
"23",2014,2,"Geroges Bank",NA
"24",2015,2,"Geroges Bank",NA
"25",2016,2,"Geroges Bank",NA
"26",2017,2,"Geroges Bank",NA
"27",2005,3,"Gulf of Maine",NA
"28",2006,3,"Gulf of Maine",NA
"29",2007,3,"Gulf of Maine",NA
"30",2008,3,"Gulf of Maine",NA
"31",2009,3,"Gulf of Maine",NA
"32",2010,3,"Gulf of Maine",NA
"33",2011,3,"Gulf of Maine",NA
"34",2012,3,"Gulf of Maine",NA
"35",2013,3,"Gulf of Maine",NA
"36",2014,3,"Gulf of Maine",NA
"37",2015,3,"Gulf of Maine",NA
"38",2016,3,"Gulf of Maine",NA
"39",2017,3,"Gulf of Maine",NA
"40",2005,6,"Maine",0.821511179645335
"41",2006,6,"Maine",0.818555641223336
"42",2007,6,"Maine",0.816371112824467
"43",2008,6,"Maine",0.811488049344641
"44",2009,6,"Maine",0.815728604471858
"45",2010,6,"Maine",0.823824209714726
"46",2011,6,"Maine",0.828707273194552
"47",2012,6,"Maine",0.828450269853508
"48",2013,6,"Maine",0.84130043690568
"49",2014,6,"Maine",0.838987406836289
"50",2015,6,"Maine",0.838601901824724
"51",2016,6,"Maine",0.832176818298638
"52",2017,6,"Maine",0.82857877152403
"53",2005,7,"Massachusetts-North",0.821215195581107
"54",2006,7,"Massachusetts-North",0.819918836658776
"55",2007,7,"Massachusetts-North",0.823920640288581
"56",2008,7,"Massachusetts-North",0.822906098523278
"57",2009,7,"Massachusetts-North",0.825836996956375
"58",2010,7,"Massachusetts-North",0.822849735091872
"59",2011,7,"Massachusetts-North",0.822680644797655
"60",2012,7,"Massachusetts-North",0.821384285875324
"61",2013,7,"Massachusetts-North",0.822398827640627
"62",2014,7,"Massachusetts-North",0.820933378424078
"63",2015,7,"Massachusetts-North",0.82301882538609
"64",2016,7,"Massachusetts-North",0.81304249802728
"65",2017,7,"Massachusetts-North",0.804024349002367
"66",2005,8,"Massachusetts-South",0.821215195581107
"67",2006,8,"Massachusetts-South",0.819918836658776
"68",2007,8,"Massachusetts-South",0.823920640288581
"69",2008,8,"Massachusetts-South",0.822906098523278
"70",2009,8,"Massachusetts-South",0.825836996956375
"71",2010,8,"Massachusetts-South",0.822849735091872
