year,layer,mean_score,rgn_id,rgn_name,ref,score
2009,recreational,0.300369685767098,12,Northeast,0.3898305084745763,0.7
2010,recreational,0.28406998158379376,12,Northeast,0.3898305084745763,0.66
2011,recreational,0.2877532228360958,12,Northeast,0.3898305084745763,0.67
2012,recreational,0.28884826325411334,12,Northeast,0.3898305084745763,0.67
2013,recreational,0.2874087591240876,12,Northeast,0.3898305084745763,0.67
2014,recreational,0.2956204379562044,12,Northeast,0.3898305084745763,0.69
2015,recreational,0.2778284671532847,12,Northeast,0.3898305084745763,0.65
2016,recreational,0.2869525547445255,12,Northeast,0.3898305084745763,0.67
2009,recreational,0.2784090909090909,5,Connecticut,0.3898305084745763,0.65
2009,recreational,0.272,6,Maine,0.3898305084745763,0.63
2009,recreational,0.32786885245901637,7,Massachusetts-North,0.3898305084745763,0.76
2009,recreational,0.3898305084745763,8,Massachusetts-South,0.3898305084745763,0.91
2009,recreational,0.3055555555555556,9,New Hampshire,0.3898305084745763,0.71
2009,recreational,0.2895348837209302,10,New York,0.3898305084745763,0.68
2009,recreational,0.2894736842105263,11,Rhode Island,0.3898305084745763,0.68
2010,recreational,0.2784090909090909,5,Connecticut,0.3898305084745763,0.65
2010,recreational,0.26785714285714285,6,Maine,0.3898305084745763,0.62
2010,recreational,0.3155737704918033,7,Massachusetts-North,0.3898305084745763,0.74
2010,recreational,0.3389830508474576,8,Massachusetts-South,0.3898305084745763,0.79
2010,recreational,0.3088235294117647,9,New Hampshire,0.3898305084745763,0.72
2010,recreational,0.2695852534562212,10,New York,0.3898305084745763,0.63
2010,recreational,0.27631578947368424,11,Rhode Island,0.3898305084745763,0.64
2011,recreational,0.26704545454545453,5,Connecticut,0.3898305084745763,0.62
2011,recreational,0.2619047619047619,6,Maine,0.3898305084745763,0.61
2011,recreational,0.3237704918032787,7,Massachusetts-North,0.3898305084745763,0.76
2011,recreational,0.3686440677966102,8,Massachusetts-South,0.3898305084745763,0.86
2011,recreational,0.29411764705882354,9,New Hampshire,0.3898305084745763,0.69
2011,recreational,0.27419354838709675,10,New York,0.3898305084745763,0.64
2011,recreational,0.2894736842105263,11,Rhode Island,0.3898305084745763,0.68
2012,recreational,0.2833333333333333,5,Connecticut,0.3898305084745763,0.66
2012,recreational,0.26587301587301587,6,Maine,0.3898305084745763,0.62
2012,recreational,0.319672131147541,7,Massachusetts-North,0.3898305084745763,0.75
2012,recreational,0.3559322033898305,8,Massachusetts-South,0.3898305084745763,0.83
2012,recreational,0.3333333333333333,9,New Hampshire,0.3898305084745763,0.78
2012,recreational,0.2728310502283105,10,New York,0.3898305084745763,0.64
2012,recreational,0.2894736842105263,11,Rhode Island,0.3898305084745763,0.68
2013,recreational,0.2833333333333333,5,Connecticut,0.3898305084745763,0.66
2013,recreational,0.2677165354330709,6,Maine,0.3898305084745763,0.62
2013,recreational,0.3114754098360656,7,Massachusetts-North,0.3898305084745763,0.73
2013,recreational,0.3474576271186441,8,Massachusetts-South,0.3898305084745763,0.81
2013,recreational,0.3055555555555556,9,New Hampshire,0.3898305084745763,0.71
2013,recreational,0.271689497716895,10,New York,0.3898305084745763,0.63
2013,recreational,0.32894736842105265,11,Rhode Island,0.3898305084745763,0.77
2014,recreational,0.2833333333333333,5,Connecticut,0.3898305084745763,0.66
2014,recreational,0.2637795275590551,6,Maine,0.3898305084745763,0.62
2014,recreational,0.3442622950819672,7,Massachusetts-North,0.3898305084745763,0.8
2014,recreational,0.3644067796610169,8,Massachusetts-South,0.3898305084745763,0.85
2014,recreational,0.3194444444444444,9,New Hampshire,0.3898305084745763,0.74
2014,recreational,0.2819634703196347,10,New York,0.3898305084745763,0.66
2014,recreational,0.3026315789473684,11,Rhode Island,0.3898305084745763,0.71
2015,recreational,0.2833333333333333,5,Connecticut,0.3898305084745763,0.66
2015,recreational,0.25393700787401574,6,Maine,0.3898305084745763,0.59
2015,recreational,0.30327868852459017,7,Massachusetts-North,0.3898305084745763,0.71
2015,recreational,0.3135593220338983,8,Massachusetts-South,0.3898305084745763,0.73
2015,recreational,0.2777777777777778,9,New Hampshire,0.3898305084745763,0.65
2015,recreational,0.2728310502283105,10,New York,0.3898305084745763,0.64
2015,recreational,0.2894736842105263,11,Rhode Island,0.3898305084745763,0.68
2016,recreational,0.2833333333333333,5,Connecticut,0.3898305084745763,0.66
2016,recreational,0.2618110236220472,6,Maine,0.3898305084745763,0.61
2016,recreational,0.319672131147541,7,Massachusetts-North,0.3898305084745763,0.75
2016,recreational,0.3305084745762712,8,Massachusetts-South,0.3898305084745763,0.77
2016,recreational,0.3333333333333333,9,New Hampshire,0.3898305084745763,0.78
2016,recreational,0.2762557077625571,10,New York,0.3898305084745763,0.64
2016,recreational,0.3026315789473684,11,Rhode Island,0.3898305084745763,0.71
