"","year","rgn_name","rgn_id","tr_job_growth"
"1",2005,"Maine",6,NA
"2",2005,"New Hampshire",9,NA
"3",2005,"New York",10,NA
"4",2005,"Rhode Island",11,NA
"5",2005,"Connecticut",5,NA
"6",2005,"Massachusetts-North",7,NA
"7",2005,"Massachusetts-South",8,NA
"8",2005,"Northeast",12,NA
"9",2006,"Maine",6,NA
"10",2006,"New Hampshire",9,NA
"11",2006,"New York",10,NA
"12",2006,"Rhode Island",11,NA
"13",2006,"Connecticut",5,NA
"14",2006,"Massachusetts-North",7,NA
"15",2006,"Massachusetts-South",8,NA
"16",2006,"Northeast",12,NA
"17",2007,"Maine",6,NA
"18",2007,"New Hampshire",9,NA
"19",2007,"New York",10,NA
"20",2007,"Rhode Island",11,NA
"21",2007,"Connecticut",5,NA
"22",2007,"Massachusetts-North",7,NA
"23",2007,"Massachusetts-South",8,NA
"24",2007,"Northeast",12,NA
"25",2008,"Maine",6,-0.00670469699214693
"26",2008,"New Hampshire",9,-0.039549436795995
"27",2008,"New York",10,0.0723243551375232
"28",2008,"Rhode Island",11,0.0209591249644359
"29",2008,"Connecticut",5,0.0400638658136074
"30",2008,"Massachusetts-North",7,0.0442604949742378
"31",2008,"Massachusetts-South",8,0.0714431609286703
"32",2008,"Northeast",12,0.0546160350526559
"33",2009,"Maine",6,-0.00997586484312152
"34",2009,"New Hampshire",9,-0.0638972809667674
"35",2009,"New York",10,0.0279780169649813
"36",2009,"Rhode Island",11,-0.0319408017984264
"37",2009,"Connecticut",5,0.0206231923480462
"38",2009,"Massachusetts-North",7,0.0194216643140164
"39",2009,"Massachusetts-South",8,0.0337181078320465
"40",2009,"Northeast",12,0.0174919320158531
"41",2010,"Maine",6,0.0262932691711419
"42",2010,"New Hampshire",9,-0.000104498667642061
"43",2010,"New York",10,0.0555800215425353
"44",2010,"Rhode Island",11,-0.0198159573355642
"45",2010,"Connecticut",5,0.00893222977956243
"46",2010,"Massachusetts-North",7,0.0197382551826808
"47",2010,"Massachusetts-South",8,0.0307241203467619
"48",2010,"Northeast",12,0.0378850592994386
"49",2011,"Maine",6,0.0776328937466846
"50",2011,"New Hampshire",9,-0.0439091244531127
"51",2011,"New York",10,0.10407309811437
"52",2011,"Rhode Island",11,0.00890571785162786
"53",2011,"Connecticut",5,0.0504788995915348
"54",2011,"Massachusetts-North",7,0.0775232239082284
"55",2011,"Massachusetts-South",8,0.038293044218223
"56",2011,"Northeast",12,0.0827364477014925
"57",2012,"Maine",6,0.0718655534763206
"58",2012,"New Hampshire",9,0.116421437009988
"59",2012,"New York",10,0.129164293849658
"60",2012,"Rhode Island",11,0.0516236735214681
"61",2012,"Connecticut",5,0.0905973593129086
"62",2012,"Massachusetts-North",7,0.0691435096523854
"63",2012,"Massachusetts-South",8,0.0760420869673175
"64",2012,"Northeast",12,0.107430970398262
"65",2013,"Maine",6,0.0463890109381866
"66",2013,"New Hampshire",9,0.125135623869801
"67",2013,"New York",10,0.120459978516122
"68",2013,"Rhode Island",11,0.06519248395967
"69",2013,"Connecticut",5,0.12338017133844
"70",2013,"Massachusetts-North",7,0.0563070463357187
"71",2013,"Massachusetts-South",8,-0.0123858213360278
"72",2013,"Northeast",12,0.0994751456517018
"73",2014,"Maine",6,0.0251714962557119
"74",2014,"New Hampshire",9,0.0576723498888065
"75",2014,"New York",10,0.120491902966573
"76",2014,"Rhode Island",11,0.0548193258608831
"77",2014,"Connecticut",5,0.0926431580589795
"78",2014,"Massachusetts-North",7,0.0473885486588399
"79",2014,"Massachusetts-South",8,0.0457828448636066
"80",2014,"Northeast",12,0.0957435201613286
"81",2015,"Maine",6,0.0244169580032747
"82",2015,"New Hampshire",9,0.0416920695962106
"83",2015,"New York",10,0.105524669717832
"84",2015,"Rhode Island",11,0.0327757751957021
"85",2015,"Connecticut",5,0.0468886371655124
"86",2015,"Massachusetts-North",7,0.0821904369493986
"87",2015,"Massachusetts-South",8,0.071549691075292
"88",2015,"Northeast",12,0.0861512725534712
"89",2016,"Maine",6,0.0441356539992128
"90",2016,"New Hampshire",9,0.0493187135844382
"91",2016,"New York",10,0.0781048029898781
"92",2016,"Rhode Island",11,0.040887040887041
"93",2016,"Connecticut",5,0.0415262235405149
"94",2016,"Massachusetts-North",7,0.070202650408302
"95",2016,"Massachusetts-South",8,0.0611585418319838
"96",2016,"Northeast",12,0.068855639145087
