layer,goal,dimension
cc_sst,RAO,pressure
cc_sst,HS,pressure
cc_sst,CW,pressure
cc_sst,FIS,pressure
cc_sst,HAB,pressure
cc_sst,ICO,pressure
cc_sst,LSP,pressure
cc_sst,MAR,pressure
cc_sst,SPP,pressure
cc_slr,RAO,pressure
cc_slr,HS,pressure
cc_slr,ECO,pressure
cc_slr,HAB,pressure
cc_slr,ICO,pressure
cc_slr,LIV,pressure
cc_slr,LSP,pressure
cc_slr,MAR,pressure
cc_slr,SPP,pressure
cc_slr,TR,pressure
cc_acid,RAO,pressure
cc_acid,FIS,pressure
cc_acid,HAB,pressure
cc_acid,ICO,pressure
cc_acid,MAR,pressure
cc_acid,SPP,pressure
cw_pathogens,CW,status
cw_sqi,CW,status
cw_trash,CW,status
cw_wqi,CW,status
eco_coast_gdp,ECO,status
element_wts_hab_pres_abs,HAB,weighting
fis_meancatch,FIS,status
fis_stockscores,FIS,status
hab_eelgrass,HAB,status
hab_salt_marsh,HAB,status
hab_sasi,HAB,status
hd_intertidal,RAO,pressure
hd_intertidal,HS,pressure
hd_intertidal,FIS,pressure
hd_intertidal,HAB,pressure
hd_intertidal,ICO,pressure
hd_intertidal,LSP,pressure
hd_intertidal,SPP,pressure
hd_intertidal,TR,pressure
hd_subtidal,RAO,pressure
hd_subtidal,FIS,pressure
hd_subtidal,HAB,pressure
hd_subtidal,ICO,pressure
hd_subtidal,LSP,pressure
hd_subtidal,MAR,pressure
hd_subtidal,SPP,pressure
hs_carbon_storage,HS,status
hs_coastal_protection,HS,status
ico_scores,ICO,status
le_coast_wages,LE,status
le_job_growth,LE,status
lsp_protected_land,LSP,status
lsp_protected_marine,LSP,status
mar_production,MAR,status
mar_sust_scores,MAR,status
rao_econ_access,RAO,status
rao_fssi,RAO,status
prs_landings,RAO,pressure
prs_landings,FIS,pressure
prs_landings,ICO,pressure
prs_landings,LSP,pressure
prs_landings,SPP,pressure
prs_landings,TR,pressure
prs_pathogens,RAO,pressure
prs_pathogens,CW,pressure
prs_pathogens,LSP,pressure
prs_pathogens,TR,pressure
prs_sqi,RAO,pressure
prs_sqi,HS,pressure
prs_sqi,CW,pressure
prs_sqi,FIS,pressure
prs_sqi,HAB,pressure
