region_id,region_name,flower_png
0,US Northeast,reports/figures/flower_USNortheast.png
1,Offshore,reports/figures/flower_Offshore.png
2,Georges Bank,reports/figures/flower_GeorgesBank.png
3,Gulf of Maine,reports/figures/flower_GulfofMaine.png
4,Mid-Atlantic Bight,reports/figures/flower_Mid-AtlanticBight.png
5,Connecticut,reports/figures/flower_Connecticut.png
6,Maine,reports/figures/flower_Maine.png
7,Massachusetts-North,reports/figures/flower_Massachusetts-North.png
8,Massachusetts-South,reports/figures/flower_Massachusetts-South.png
9,New Hampshire,reports/figures/flower_NewHampshire.png
10,New York,reports/figures/flower_NewYork.png
11,Rhode Island,reports/figures/flower_RhodeIsland.png
12,Northeast,reports/figures/flower_Northeast.png
