goal,dimension,region_id,score,year
BD,future,0,71.6,2005
BD,future,1,89,2005
BD,future,2,73.91,2005
BD,future,3,69.98,2005
BD,future,4,73.23,2005
BD,future,5,74.25,2005
BD,future,6,81.02,2005
BD,future,7,60.2,2005
BD,future,8,64.24,2005
BD,future,9,70.03,2005
BD,future,10,67.6,2005
BD,future,11,64.12,2005
BD,pressures,1,,2005
BD,pressures,2,,2005
BD,pressures,3,,2005
BD,pressures,4,,2005
BD,pressures,5,,2005
BD,pressures,6,,2005
BD,pressures,7,,2005
BD,pressures,8,,2005
BD,pressures,9,,2005
BD,pressures,10,,2005
BD,pressures,11,,2005
BD,resilience,1,,2005
BD,resilience,2,,2005
BD,resilience,3,,2005
BD,resilience,4,,2005
BD,resilience,5,,2005
BD,resilience,6,,2005
BD,resilience,7,,2005
BD,resilience,8,,2005
BD,resilience,9,,2005
BD,resilience,10,,2005
BD,resilience,11,,2005
BD,score,0,73.58,2005
BD,score,1,91.17,2005
BD,score,2,76.08,2005
BD,score,3,71.99,2005
BD,score,4,75.44,2005
BD,score,5,76.27,2005
BD,score,6,82.76,2005
BD,score,7,61.94,2005
BD,score,8,66.07,2005
BD,score,9,72.02,2005
BD,score,10,69.59,2005
BD,score,11,66.09,2005
BD,status,0,75.57,2005
BD,status,1,93.33,2005
BD,status,2,78.25,2005
BD,status,3,73.99,2005
BD,status,4,77.66,2005
BD,status,5,78.29,2005
BD,status,6,84.5,2005
BD,status,7,63.69,2005
BD,status,8,67.9,2005
BD,status,9,74.02,2005
BD,status,10,71.59,2005
BD,status,11,68.06,2005
BD,trend,1,-0.01,2005
BD,trend,2,-0.01,2005
BD,trend,3,-0.01,2005
BD,trend,4,-0.01,2005
BD,trend,5,-0.01,2005
BD,trend,6,-0.01,2005
BD,trend,7,-0.01,2005
BD,trend,8,-0.01,2005
BD,trend,9,-0.01,2005
BD,trend,10,-0.01,2005
BD,trend,11,-0.01,2005
CW,future,0,93.68,2005
CW,future,1,NaN,2005
CW,future,2,NaN,2005
CW,future,3,NaN,2005
CW,future,4,NaN,2005
CW,future,5,83.61,2005
CW,future,6,100,2005
CW,future,7,99.38,2005
CW,future,8,100,2005
CW,future,9,93.07,2005
CW,future,10,87.99,2005
CW,future,11,91.74,2005
CW,pressures,1,18.28,2005
CW,pressures,2,19.17,2005
CW,pressures,3,16.21,2005
CW,pressures,4,19.84,2005
CW,pressures,5,14.59,2005
CW,pressures,6,14.21,2005
CW,pressures,7,14.44,2005
CW,pressures,8,13.88,2005
CW,pressures,9,13.99,2005
CW,pressures,10,15.75,2005
CW,pressures,11,16.06,2005
CW,resilience,1,44.44,2005
CW,resilience,2,44.44,2005
CW,resilience,3,44.44,2005
CW,resilience,4,44.44,2005
CW,resilience,5,44.44,2005
CW,resilience,6,44.44,2005
CW,resilience,7,44.44,2005
CW,resilience,8,44.44,2005
CW,resilience,9,44.44,2005
CW,resilience,10,44.44,2005
CW,resilience,11,44.44,2005
CW,score,0,90.02,2005
CW,score,1,NaN,2005
CW,score,2,NaN,2005
CW,score,3,NaN,2005
CW,score,4,NaN,2005
CW,score,5,79.86,2005
CW,score,6,97.66,2005
CW,score,7,94.9,2005
