"rgn_id","habitat","extent_rank","layer"
1,"seagrass",17906,"element_wts_cp_km2_x_protection"
2,"seagrass",17906,"element_wts_cp_km2_x_protection"
3,"seagrass",17906,"element_wts_cp_km2_x_protection"
4,"seagrass",17906,"element_wts_cp_km2_x_protection"
5,"seagrass",17906,"element_wts_cp_km2_x_protection"
6,"seagrass",17906,"element_wts_cp_km2_x_protection"
7,"seagrass",17906,"element_wts_cp_km2_x_protection"
8,"seagrass",17906,"element_wts_cp_km2_x_protection"
9,"seagrass",17906,"element_wts_cp_km2_x_protection"
10,"seagrass",17906,"element_wts_cp_km2_x_protection"
11,"seagrass",17906,"element_wts_cp_km2_x_protection"
1,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
2,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
3,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
4,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
5,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
6,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
7,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
8,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
9,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
10,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
11,"saltmarsh",47241,"element_wts_cp_km2_x_protection"
1,"coral",15875.68,"element_wts_cp_km2_x_protection"
2,"coral",15875.68,"element_wts_cp_km2_x_protection"
3,"coral",15875.68,"element_wts_cp_km2_x_protection"
4,"coral",15875.68,"element_wts_cp_km2_x_protection"
5,"coral",15875.68,"element_wts_cp_km2_x_protection"
6,"coral",15875.68,"element_wts_cp_km2_x_protection"
7,"coral",15875.68,"element_wts_cp_km2_x_protection"
8,"coral",15875.68,"element_wts_cp_km2_x_protection"
9,"coral",15875.68,"element_wts_cp_km2_x_protection"
10,"coral",15875.68,"element_wts_cp_km2_x_protection"
11,"coral",15875.68,"element_wts_cp_km2_x_protection"
1,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
2,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
3,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
4,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
5,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
6,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
7,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
8,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
9,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
10,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
11,"seaice_shoreline",295880.681818181,"element_wts_cp_km2_x_protection"
1,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
2,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
3,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
4,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
5,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
6,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
7,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
8,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
9,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
10,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
11,"mangrove",3095.508496,"element_wts_cp_km2_x_protection"
