"rgn_id","habitat","extent_rank","layer"
1,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
2,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
3,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
4,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
5,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
6,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
7,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
8,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
9,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
10,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
11,"mangrove",201230.880325,"element_wts_cs_km2_x_storage"
1,"seagrass",1486198,"element_wts_cs_km2_x_storage"
2,"seagrass",1486198,"element_wts_cs_km2_x_storage"
3,"seagrass",1486198,"element_wts_cs_km2_x_storage"
4,"seagrass",1486198,"element_wts_cs_km2_x_storage"
5,"seagrass",1486198,"element_wts_cs_km2_x_storage"
6,"seagrass",1486198,"element_wts_cs_km2_x_storage"
7,"seagrass",1486198,"element_wts_cs_km2_x_storage"
8,"seagrass",1486198,"element_wts_cs_km2_x_storage"
9,"seagrass",1486198,"element_wts_cs_km2_x_storage"
10,"seagrass",1486198,"element_wts_cs_km2_x_storage"
11,"seagrass",1486198,"element_wts_cs_km2_x_storage"
1,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
2,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
3,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
4,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
5,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
6,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
7,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
8,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
9,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
10,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
11,"saltmarsh",3306870,"element_wts_cs_km2_x_storage"
