"rgn_id","habitat","boolean","layer"
5,"saltmarsh",1,"element_wts_hab_pres_abs"
6,"saltmarsh",1,"element_wts_hab_pres_abs"
7,"saltmarsh",1,"element_wts_hab_pres_abs"
8,"saltmarsh",1,"element_wts_hab_pres_abs"
9,"saltmarsh",1,"element_wts_hab_pres_abs"
10,"saltmarsh",1,"element_wts_hab_pres_abs"
11,"saltmarsh",1,"element_wts_hab_pres_abs"
5,"eelgrass",1,"element_wts_hab_pres_abs"
6,"eelgrass",1,"element_wts_hab_pres_abs"
7,"eelgrass",1,"element_wts_hab_pres_abs"
8,"eelgrass",1,"element_wts_hab_pres_abs"
9,"eelgrass",1,"element_wts_hab_pres_abs"
10,"eelgrass",1,"element_wts_hab_pres_abs"
11,"eelgrass",1,"element_wts_hab_pres_abs"
1,"seabed",1,"element_wts_hab_pres_abs"
2,"seabed",1,"element_wts_hab_pres_abs"
3,"seabed",1,"element_wts_hab_pres_abs"
4,"seabed",1,"element_wts_hab_pres_abs"
5,"seabed",1,"element_wts_hab_pres_abs"
6,"seabed",1,"element_wts_hab_pres_abs"
7,"seabed",1,"element_wts_hab_pres_abs"
8,"seabed",1,"element_wts_hab_pres_abs"
9,"seabed",1,"element_wts_hab_pres_abs"
10,"seabed",1,"element_wts_hab_pres_abs"
11,"seabed",1,"element_wts_hab_pres_abs"
