"layer","filename","fld_value","targets","name","units","description","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"cc_acid","cc_acid.csv","score","RAO pressureFIS pressureHAB pressureICO pressureMAR pressureSPP pressure","Ocean acidification","scaled 0-1","Ocean acidification pressure scaled using biological thresholds","rgn_id",,"x","year","score",,TRUE,2014,2017,0.499191607092887,0.871074999582316,TRUE,"rgn_name",,,8,FALSE
"cc_slr","cc_slr.csv","pressure_score","RAO pressureHS pressureECO pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureSPP pressureTR pressure","Sea level rise","scaled 0-1","Sea level rise pressure","rgn_id",,"rgn_name","year","pressure_score",,TRUE,2005,2017,0,0.999917143426226,TRUE,,,,8,FALSE
"cc_sst","cc_sst.csv","pressure_score","RAO pressureHS pressureCW pressureFIS pressureHAB pressureICO pressureLSP pressureMAR pressureSPP pressure","Sea surface temperature","scaled 0-1","Sea surface temperature anomalies","rgn_id",,"rgn_name","year","pressure_score",,TRUE,1986,2017,0.0759213502738583,0.969255215361539,TRUE,,,,8,FALSE
"cw_pathogens","cw_pathogens.csv","perc_open","CW","Pathogen-related beach closures","proportion","Proportion of swim season beaches are closed due to presence of pathogens","rgn_id",,"x","year","perc_open",,TRUE,2005,2017,0.638,0.99,TRUE,"rgn_name",,,8,FALSE
"cw_sqi","cw_sqi.csv","score","CW","Sediment quality index score","score 0-100","Sediment quality index","rgn_id",,"rgn_name","year","score",,TRUE,2006,2010,42.202388061278,98.662017722172,FALSE,,,,8,FALSE
"cw_trash","cw_trash.csv","score","CW","Pounds per person","scaled 0-1","Pounds of trash collected per volunteer","rgn_id",,"x","year","score",,TRUE,2006,2017,0.725284569705359,0.979791914997253,TRUE,,,,8,FALSE
"cw_wqi","cw_wqi.csv","score","CW","Water quality index score","score 0-100","Water quality score","rgn_id",,"rgn_name","year","score",,TRUE,2006,2010,56.1427667425784,98.9160748797048,FALSE,,,,8,FALSE
"eco_coast_gdp","eco_coast_gdp.csv","gdp_growth_rate","ECO","GDP growth rate","rate","GDP growth rate for coastal jobs","rgn_id",,"x","year","gdp_growth_rate",,TRUE,2005,2016,-0.232602513561497,0.458426795533216,FALSE,"rgn_name",,,8,FALSE
"element_wts_hab_pres_abs","element_wts_hab_pres_abs.csv","boolean","HAB weighting","Habitat weights","boolean","List of habitats in each region","rgn_id",,"habitat",,"boolean",,TRUE,,,,,FALSE,,,,8,TRUE
"fis_meancatch","fis_meancatch.csv","mean_catch_times_prop","FIS","Fishery catch data","pounds","rolling three year mean of commercial catch by state","rgn_id",,"x","year","mean_catch_times_prop",,TRUE,2005,2017,-0.0000000000311501935357228,92887539.4209594,FALSE,"rgn_name,species,stock,stock_id,mean_catch,display_name,fixed_name",,,8,FALSE
"fis_stockscores","fis_stockscores.csv","score","FIS","Stock scores","stock score","Fisheries stock scores between 0 and 1","rgn_id",,"source","year","score",,TRUE,2004,2018,0,1,TRUE,"nmfs_original_species,location,stockid",,7647,8,FALSE
"hab_eelgrass","hab_eelgrass.csv","score","HAB","Water Quality Index score","score 0 - 100","Water Quality Index Score","rgn_id",,"rgn_name","year","score",,TRUE,2006,2017,57.3236157164259,98.9160748797048,FALSE,"habitat",,,8,FALSE
"hab_salt_marsh","hab_salt_marsh.csv","perc_loss","HAB","Percent loss of habitat","percent","Percent of habitat loss compared to historical values","rgn_id",,"habitat","year","perc_loss",,TRUE,1996,2017,-2.36446395719941,53.1666913420966,FALSE,,,,8,FALSE
"hab_fishing_effects","hab_fishing_effects.csv","score","HAB","Fishing Effects","score 0 - 1","Impacts of fishing to seabed habitats","rgn_id",,"habitat","year","score",,TRUE,2004,2017,0.376172621888282,0.977053408088443,TRUE,"rgn_name",,,8,FALSE
"hd_intertidal","hd_intertidal.csv","score","RAO pressureHS pressureFIS pressureHAB pressureICO pressureLSP pressureSPP pressureTR pressure","Intertidal habitat destruction","scaled 0-1","Coastal population density (25 mi from shore) as a proxy for intertidal habitat destruction","rgn_id",,"x","year","score",,TRUE,2017,2017,0.201836082633092,0.529436085525038,TRUE,"rgn_name",,,8,FALSE
"hs_carbon_storage","hs_carbon_storage.csv","cs_score","HS","Carbon storage","score 0 - 100","Carbon storage score based on eelgrass and salt marsh","rgn_id",,"x","year","cs_score",,TRUE,2006,2017,61,99,FALSE,"rgn_name,digits",,,8,FALSE
"hs_coastal_protection","hs_coastal_protection.csv","cp_score","HS","Coastal Protection","score 0 - 100","Coastal protection score based on eelgrass and salt marsh","rgn_id",,"x","year","cp_score",,TRUE,2006,2017,53.23,99.78,FALSE,"rgn_name",,,8,FALSE
"ico_scores","ico_scores.csv","score","ICO","Conservation status","score 0 - 1","Conservation status from IUCN or Natureserve per region","rgn_id",,"x","year","score",,TRUE,2005,2017,0.1,1,TRUE,"rgn_name,common",,,8,FALSE
"le_coast_wages","le_coast_wages.csv","wage_growth_rate","LE","wage growth rate","rate","growth rate in wages compared to the average of the previous 3 years","rgn_id",,"x","year","wage_growth_rate",,TRUE,2005,2016,-0.126322328272083,0.189222070803808,FALSE,"rgn_name",,,8,FALSE
