rgn_id,year,score,habitat,rgn_name
1,2004,0.9572907514853974,seabed,Offshore
2,2004,0.6710673304980477,seabed,Georges Bank
3,2004,0.5930900586724968,seabed,Gulf of Maine
4,2004,0.6390543921760278,seabed,Mid-Atlantic Bight
5,2004,0.8262473040549316,seabed,Connecticut
6,2004,0.8018864948886262,seabed,Maine
7,2004,0.46059937465074663,seabed,Massachusetts-North
8,2004,0.5851029991104622,seabed,Massachusetts-South
9,2004,0.47720872273658244,seabed,New Hampshire
10,2004,0.5534724172929801,seabed,New York
11,2004,0.37617262188828227,seabed,Rhode Island
1,2005,0.960287773492699,seabed,Offshore
2,2005,0.6674509034280269,seabed,Georges Bank
3,2005,0.5995393472937167,seabed,Gulf of Maine
4,2005,0.6473341107219801,seabed,Mid-Atlantic Bight
5,2005,0.8351896447387532,seabed,Connecticut
6,2005,0.8057349138155809,seabed,Maine
7,2005,0.48378846620324634,seabed,Massachusetts-North
8,2005,0.5988311100771979,seabed,Massachusetts-South
9,2005,0.49205951900455536,seabed,New Hampshire
10,2005,0.5630560440680137,seabed,New York
11,2005,0.387524946313186,seabed,Rhode Island
1,2006,0.9614278276638053,seabed,Offshore
2,2006,0.6592400917838382,seabed,Georges Bank
3,2006,0.6161371320691232,seabed,Gulf of Maine
4,2006,0.635508912559428,seabed,Mid-Atlantic Bight
5,2006,0.8357938032344479,seabed,Connecticut
6,2006,0.8176043634505927,seabed,Maine
7,2006,0.5298811809710375,seabed,Massachusetts-North
8,2006,0.6110547107940951,seabed,Massachusetts-South
9,2006,0.5477200759855729,seabed,New Hampshire
10,2006,0.5699510711784876,seabed,New York
11,2006,0.3794219443379351,seabed,Rhode Island
1,2007,0.962034244705771,seabed,Offshore
2,2007,0.658249230072192,seabed,Georges Bank
3,2007,0.638077735896512,seabed,Gulf of Maine
4,2007,0.6361177250603496,seabed,Mid-Atlantic Bight
5,2007,0.8387961053996349,seabed,Connecticut
6,2007,0.8217664812124962,seabed,Maine
7,2007,0.5782128623242685,seabed,Massachusetts-North
