"","rgn_id","year","prop_area"
"1",5,2005,0
"2",5,2006,0
"3",5,2007,0
"4",5,2008,0
"5",5,2009,0
"6",5,2010,0
"7",5,2011,0
"8",5,2012,0
"9",5,2013,0
"10",5,2014,0
"11",5,2015,0
"12",5,2016,0
"13",5,2017,0
"14",6,2005,0
"15",6,2006,0
"16",6,2007,0
"17",6,2008,0
"18",6,2009,0
"19",6,2010,0
"20",6,2011,0
"21",6,2012,0
"22",6,2013,0
"23",6,2014,0
"24",6,2015,0
"25",6,2016,0
"26",6,2017,0
"27",7,2005,0.74
"28",7,2006,0.74
"29",7,2007,0.74
"30",7,2008,0.74
"31",7,2009,0.74
"32",7,2010,0.74
"33",7,2011,0.74
"34",7,2012,0.74
"35",7,2013,0.74
"36",7,2014,0.74
"37",7,2015,0.74
"38",7,2016,0.74
"39",7,2017,0.74
"40",8,2005,0.96
"41",8,2006,0.96
"42",8,2007,0.96
"43",8,2008,0.96
"44",8,2009,0.96
"45",8,2010,0.96
"46",8,2011,0.96
"47",8,2012,0.96
"48",8,2013,0.96
"49",8,2014,0.96
"50",8,2015,0.96
"51",8,2016,0.96
"52",8,2017,0.96
"53",9,2005,0.13
"54",9,2006,0.13
"55",9,2007,0.13
"56",9,2008,0.13
"57",9,2009,0.13
"58",9,2010,0.13
"59",9,2011,0.13
"60",9,2012,0.13
"61",9,2013,0.13
"62",9,2014,0.13
"63",9,2015,0.13
"64",9,2016,0.13
"65",9,2017,0.13
"66",10,2005,0.03
"67",10,2006,0.03
"68",10,2007,0.03
"69",10,2008,0.03
"70",10,2009,0.03
"71",10,2010,0.03
"72",10,2011,0.03
"73",10,2012,0.03
"74",10,2013,0.03
"75",10,2014,0.03
"76",10,2015,0.03
"77",10,2016,0.03
"78",10,2017,0.03
"79",11,2005,0.01
"80",11,2006,0.01
"81",11,2007,0.01
"82",11,2008,0.01
"83",11,2009,0.01
"84",11,2010,0.01
"85",11,2011,0.01
"86",11,2012,0.01
"87",11,2013,0.01
"88",11,2014,0.01
"89",11,2015,0.01
"90",11,2016,0.01
"91",11,2017,0.01
"92",12,2005,0.22
"93",12,2006,0.22
"94",12,2007,0.22
"95",12,2008,0.22
"96",12,2009,0.22
"97",12,2010,0.22
"98",12,2011,0.22
"99",12,2012,0.22
"100",12,2013,0.22
"101",12,2014,0.22
"102",12,2015,0.22
"103",12,2016,0.22
"104",12,2017,0.22
