rgn_id,year,pressure_score,rgn_name
1,2000,0.0011085524494444641,Offshore
2,2000,0.052744588090916034,Georges Bank
3,2000,0.0465603129728575,Gulf of Maine
4,2000,0.049360584376552726,Mid-Atlantic Bight
5,2000,0.17352413042910456,Connecticut
6,2000,0.17254206990223872,Maine
7,2000,0.1726166645757858,Massachusetts-North
8,2000,0.07935871687674631,Massachusetts-South
9,2000,0.3472620951473166,New Hampshire
10,2000,0.14310107194561386,New York
11,2000,0.10075240690970849,Rhode Island
1,2001,0.001192503675853705,Offshore
2,2001,0.0620704333795521,Georges Bank
3,2001,0.04315952533785597,Gulf of Maine
4,2001,0.07848589039027225,Mid-Atlantic Bight
5,2001,0.23465269618714107,Connecticut
6,2001,0.1743292298128172,Maine
7,2001,0.22701623243821512,Massachusetts-North
8,2001,0.10470346413516188,Massachusetts-South
9,2001,0.23651730358053785,New Hampshire
10,2001,0.1981456428179341,New York
11,2001,0.13003860082620494,Rhode Island
1,2002,9.968785394506424e-4,Offshore
2,2002,0.04701111982227377,Georges Bank
3,2002,0.050753239744970306,Gulf of Maine
4,2002,0.07024887307392558,Mid-Atlantic Bight
5,2002,0.1625261706718075,Connecticut
6,2002,0.21993440363118658,Maine
7,2002,0.2957505049486268,Massachusetts-North
8,2002,0.19278674706200147,Massachusetts-South
9,2002,0.13223623761206593,New Hampshire
10,2002,0.1322410484224285,New York
11,2002,0.1034603308359327,Rhode Island
1,2003,0.0016107511073312263,Offshore
2,2003,0.06690602410230244,Georges Bank
3,2003,0.04936960111470223,Gulf of Maine
4,2003,0.07765819655932546,Mid-Atlantic Bight
5,2003,0.19996957103489577,Connecticut
6,2003,0.12623227325283926,Maine
7,2003,0.2225458797792516,Massachusetts-North
8,2003,0.12651311251142836,Massachusetts-South
9,2003,0.19429844460629542,New Hampshire
10,2003,0.1676970980411099,New York
11,2003,0.130608597854099,Rhode Island
1,2004,9.785462734169836e-4,Offshore
2,2004,0.07726128311336948,Georges Bank
3,2004,0.05168089999656695,Gulf of Maine
4,2004,0.05603294632268964,Mid-Atlantic Bight
5,2004,0.1557543956261529,Connecticut
6,2004,0.15377187469628734,Maine
7,2004,0.22569826749354452,Massachusetts-North
8,2004,0.09328042624614934,Massachusetts-South
9,2004,0.22218726739424086,New Hampshire
10,2004,0.14107442030408343,New York
11,2004,0.08079261348589657,Rhode Island
1,2005,4.53880897971899e-4,Offshore
2,2005,0.04636890004427747,Georges Bank
3,2005,0.03327049102135861,Gulf of Maine
4,2005,0.05208731318887044,Mid-Atlantic Bight
5,2005,0.17055244608647788,Connecticut
6,2005,0.13795128971371662,Maine
7,2005,0.12055679080447902,Massachusetts-North
8,2005,0.07014305284377423,Massachusetts-South
9,2005,0.1430538593013899,New Hampshire
10,2005,0.11017772876565345,New York
11,2005,0.07455106242540813,Rhode Island
1,2006,0.0015645370508598447,Offshore
2,2006,0.06558461351214506,Georges Bank
3,2006,0.03218702898669436,Gulf of Maine
4,2006,0.06807929942628041,Mid-Atlantic Bight
5,2006,0.24959198751406173,Connecticut
6,2006,0.13619192539064548,Maine
7,2006,0.13759150070372533,Massachusetts-North
8,2006,0.07433362500964133,Massachusetts-South
9,2006,0.08084974848075745,New Hampshire
10,2006,0.1842538966867285,New York
11,2006,0.04805341843311551,Rhode Island
1,2007,0.001530292642707927,Offshore
2,2007,0.04172532251949165,Georges Bank
3,2007,0.0398084994085322,Gulf of Maine
4,2007,0.07574868933284404,Mid-Atlantic Bight
5,2007,0.16923100169224964,Connecticut
6,2007,0.15151959329821918,Maine
7,2007,0.1326289628370059,Massachusetts-North
8,2007,0.058095677474939475,Massachusetts-South
9,2007,0.5279595056258211,New Hampshire
10,2007,0.09886354708571002,New York
11,2007,0.05322023319995803,Rhode Island
1,2008,7.756245373207012e-4,Offshore
2,2008,0.10152018223657777,Georges Bank
3,2008,0.034430987244403036,Gulf of Maine
4,2008,0.04126360136793554,Mid-Atlantic Bight
5,2008,0.10252463236314262,Connecticut
6,2008,0.12212902435467493,Maine
7,2008,0.22604730816810442,Massachusetts-North
8,2008,0.07106766233620394,Massachusetts-South
9,2008,0.23985978537196412,New Hampshire
10,2008,0.07256445528022122,New York
11,2008,0.06040442609612755,Rhode Island
1,2009,7.247425155611051e-4,Offshore
2,2009,0.03247158920342115,Georges Bank
3,2009,0.05543430858659362,Gulf of Maine
4,2009,0.06235377938955363,Mid-Atlantic Bight
5,2009,0.10688389573378239,Connecticut
6,2009,0.2669679113847002,Maine
7,2009,0.19203299370413043,Massachusetts-North
8,2009,0.04423376298829558,Massachusetts-South
9,2009,0.16057349628674875,New Hampshire
10,2009,0.08773005450426365,New York
11,2009,0.05894919127707148,Rhode Island
1,2010,0.0029730772287277613,Offshore
2,2010,0.07016761493220494,Georges Bank
3,2010,0.07341937918480397,Gulf of Maine
4,2010,0.06507993401752975,Mid-Atlantic Bight
5,2010,0.16890275197255172,Connecticut
6,2010,0.15338915321620947,Maine
7,2010,0.23819150959961718,Massachusetts-North
8,2010,0.056178388309235286,Massachusetts-South
9,2010,0.15853534030531524,New Hampshire
10,2010,0.13918265183066622,New York
11,2010,0.21667173575192616,Rhode Island
1,2011,0.0010072316283844882,Offshore
2,2011,0.11041988650319409,Georges Bank
3,2011,0.0426421299791359,Gulf of Maine
4,2011,0.06713631369604002,Mid-Atlantic Bight
5,2011,0.25021681842196175,Connecticut
6,2011,0.16099392308610394,Maine
7,2011,0.20522277528182195,Massachusetts-North
8,2011,0.18239017827423265,Massachusetts-South
9,2011,0.27337782290003715,New Hampshire
10,2011,0.19406970173329882,New York
11,2011,0.2236814855408298,Rhode Island
1,2012,7.827645926599581e-4,Offshore
