"","year","rgn_id","rgn_name","score"
"1",2005,1,"Offshore",NA
"2",2005,2,"Georges Bank",NA
"3",2005,3,"Gulf of Maine",NA
"4",2005,4,"Mid-Atlantic Bight",NA
"5",2005,5,"Connecticut",0.441357383119581
"6",2005,6,"Maine",0.406993385309809
"7",2005,7,"Massachusetts-North",0.500804954749799
"8",2005,8,"Massachusetts-South",0.475984537903267
"9",2005,9,"New Hampshire",0.448068396428998
"10",2005,10,"New York",0.485883560215546
"11",2005,11,"Rhode Island",0.495571162053608
"12",2006,1,"Offshore",NA
"13",2006,2,"Georges Bank",NA
"14",2006,3,"Gulf of Maine",NA
"15",2006,4,"Mid-Atlantic Bight",NA
"16",2006,5,"Connecticut",0.427894957890623
"17",2006,6,"Maine",0.292737689327065
"18",2006,7,"Massachusetts-North",0.385226144079576
"19",2006,8,"Massachusetts-South",0.208715104193538
"20",2006,9,"New Hampshire",0.334314640988125
"21",2006,10,"New York",0.387178551978982
"22",2006,11,"Rhode Island",0.367731193276438
"23",2007,1,"Offshore",NA
"24",2007,2,"Georges Bank",NA
"25",2007,3,"Gulf of Maine",NA
"26",2007,4,"Mid-Atlantic Bight",NA
"27",2007,5,"Connecticut",0
"28",2007,6,"Maine",0.0641325354234749
"29",2007,7,"Massachusetts-North",0.0241006420249915
"30",2007,8,"Massachusetts-South",0.0257236853065781
"31",2007,9,"New Hampshire",0.0235506369826499
"32",2007,10,"New York",0.00909290714482724
"33",2007,11,"Rhode Island",0.00465915742398318
"34",2008,1,"Offshore",NA
"35",2008,2,"Georges Bank",NA
"36",2008,3,"Gulf of Maine",NA
"37",2008,4,"Mid-Atlantic Bight",NA
"38",2008,5,"Connecticut",0.379732985374997
"39",2008,6,"Maine",0.193626533531976
"40",2008,7,"Massachusetts-North",0.428419296360678
"41",2008,8,"Massachusetts-South",0.393807968861206
"42",2008,9,"New Hampshire",0.242869607183371
"43",2008,10,"New York",0.335658499331567
"44",2008,11,"Rhode Island",0.385841230737334
"45",2009,1,"Offshore",NA
"46",2009,2,"Georges Bank",NA
"47",2009,3,"Gulf of Maine",NA
"48",2009,4,"Mid-Atlantic Bight",NA
"49",2009,5,"Connecticut",0.496224098083216
"50",2009,6,"Maine",0.50302747997984
"51",2009,7,"Massachusetts-North",0.589833244751071
"52",2009,8,"Massachusetts-South",0.538935747261111
"53",2009,9,"New Hampshire",0.592051124974583
"54",2009,10,"New York",0.517254929903871
"55",2009,11,"Rhode Island",0.5060792333727
"56",2010,1,"Offshore",NA
"57",2010,2,"Georges Bank",NA
"58",2010,3,"Gulf of Maine",NA
"59",2010,4,"Mid-Atlantic Bight",NA
"60",2010,5,"Connecticut",0.606384000814573
"61",2010,6,"Maine",0.76209415423588
"62",2010,7,"Massachusetts-North",0.853768038488271
"63",2010,8,"Massachusetts-South",0.8631305371925
"64",2010,9,"New Hampshire",0.735856204890133
"65",2010,10,"New York",0.622586855471387
"66",2010,11,"Rhode Island",0.689506684501328
"67",2011,1,"Offshore",NA
"68",2011,2,"Georges Bank",NA
"69",2011,3,"Gulf of Maine",NA
"70",2011,4,"Mid-Atlantic Bight",NA
"71",2011,5,"Connecticut",0.777316331739399
"72",2011,6,"Maine",0.735624149739147
"73",2011,7,"Massachusetts-North",0.874016027161252
"74",2011,8,"Massachusetts-South",0.847905585882119
"75",2011,9,"New Hampshire",0.826409059294154
"76",2011,10,"New York",0.774463549332878
"77",2011,11,"Rhode Island",0.83923468094671
"78",2012,1,"Offshore",NA
"79",2012,2,"Georges Bank",NA
"80",2012,3,"Gulf of Maine",NA
"81",2012,4,"Mid-Atlantic Bight",NA
"82",2012,5,"Connecticut",0.845519667607571
"83",2012,6,"Maine",0.708966608371427
"84",2012,7,"Massachusetts-North",0.837072640674853
"85",2012,8,"Massachusetts-South",0.753244076570467
"86",2012,9,"New Hampshire",0.813046668352706
"87",2012,10,"New York",0.825385842880874
"88",2012,11,"Rhode Island",0.770865630922896
"89",2013,1,"Offshore",NA
"90",2013,2,"Georges Bank",NA
"91",2013,3,"Gulf of Maine",NA
"92",2013,4,"Mid-Atlantic Bight",NA
"93",2013,5,"Connecticut",0.554853605537904
"94",2013,6,"Maine",0.722882683974982
"95",2013,7,"Massachusetts-North",0.700543672334381
"96",2013,8,"Massachusetts-South",0.666578799774641
"97",2013,9,"New Hampshire",0.65771490402436
"98",2013,10,"New York",0.540438149952319
"99",2013,11,"Rhode Island",0.536508659946727
"100",2014,1,"Offshore",NA
"101",2014,2,"Georges Bank",NA
"102",2014,3,"Gulf of Maine",NA
"103",2014,4,"Mid-Atlantic Bight",NA
"104",2014,5,"Connecticut",0.787627910112706
"105",2014,6,"Maine",0.7351399749254
"106",2014,7,"Massachusetts-North",0.786729893018628
"107",2014,8,"Massachusetts-South",0.68903850883312
"108",2014,9,"New Hampshire",0.839777645770084
"109",2014,10,"New York",0.757652720902843
"110",2014,11,"Rhode Island",0.730606709625207
"111",2015,1,"Offshore",NA
"112",2015,2,"Georges Bank",NA
"113",2015,3,"Gulf of Maine",NA
"114",2015,4,"Mid-Atlantic Bight",NA
"115",2015,5,"Connecticut",0.754102332540755
"116",2015,6,"Maine",0.619754917781544
"117",2015,7,"Massachusetts-North",0.458670751837611
"118",2015,8,"Massachusetts-South",0.425103473290524
"119",2015,9,"New Hampshire",0.459235914302676
"120",2015,10,"New York",0.669925483424189
"121",2015,11,"Rhode Island",0.44615736561238
"122",2016,1,"Offshore",NA
"123",2016,2,"Georges Bank",NA
"124",2016,3,"Gulf of Maine",NA
"125",2016,4,"Mid-Atlantic Bight",NA
"126",2016,5,"Connecticut",0.998530828175697
"127",2016,6,"Maine",0.880718928245795
"128",2016,7,"Massachusetts-North",0.930313938716699
"129",2016,8,"Massachusetts-South",0.895180776859519
"130",2016,9,"New Hampshire",0.883128728089708
"131",2016,10,"New York",0.978904642322805
"132",2016,11,"Rhode Island",0.878845813811994
"133",2017,1,"Offshore",NA
"134",2017,2,"Georges Bank",NA
"135",2017,3,"Gulf of Maine",NA
"136",2017,4,"Mid-Atlantic Bight",NA
"137",2017,5,"Connecticut",0.52442680627893
"138",2017,6,"Maine",0.759167711670867
"139",2017,7,"Massachusetts-North",0.636986308976224
"140",2017,8,"Massachusetts-South",0.62016894281665
"141",2017,9,"New Hampshire",0.732301300831055
"142",2017,10,"New York",0.546333566757353
"143",2017,11,"Rhode Island",0.542215966232745
