year,rgn_id,rgn_name,score
2006,5,Connecticut,0.43857233257421613
2007,5,Connecticut,0.4242488259308591
2008,5,Connecticut,0.4099253192875021
2009,5,Connecticut,0.39560181264414507
2010,5,Connecticut,0.38127830600078805
2006,6,Maine,0.01083925120295215
2007,6,Maine,0.026953216967224414
2008,6,Maine,0.04306718273149668
2009,6,Maine,0.059181148495769054
2010,6,Maine,0.07529511426004132
2006,7,Massachusetts-North,0.07352941176470584
2007,7,Massachusetts-North,0.0625831495364636
2008,7,Massachusetts-North,0.05163688730822147
2009,7,Massachusetts-North,0.040690625079979115
2010,7,Massachusetts-North,0.029744362851736983
2006,8,Massachusetts-South,0.11692336110725587
2007,8,Massachusetts-South,0.09924993757353162
2008,8,Massachusetts-South,0.08157651403980737
2009,8,Massachusetts-South,0.0639030905060829
2010,8,Massachusetts-South,0.04622966697235864
2006,9,New Hampshire,0.287037037037037
2007,9,New Hampshire,0.2992197727114885
2008,9,New Hampshire,0.31140250838593997
2009,9,New Hampshire,0.32358524406039146
2010,9,New Hampshire,0.33576797973484307
2006,10,New York,0.31305222879458594
2007,10,New York,0.31065445485493226
2008,10,New York,0.3082566809152786
2009,10,New York,0.3058589069756249
2010,10,New York,0.3034611330359712
2006,12,Northeast,0.1870973681066026
2007,12,Northeast,0.1788424189907698
2008,12,Northeast,0.17058746987493723
2009,12,Northeast,0.16233252075910443
2010,12,Northeast,0.15407757164327163
2006,11,Rhode Island,0.236900931685467
2007,11,Rhode Island,0.19912763274974066
2008,11,Rhode Island,0.16135433381401443
2009,11,Rhode Island,0.12358103487828831
2010,11,Rhode Island,0.08580773594256197
2006,1,Offshore,NA
2006,2,Georges Bank,NA
2006,3,Gulf of Maine,NA
2006,4,Mid-Atlantic Bight,NA
2007,1,Offshore,NA
2007,2,Georges Bank,NA
2007,3,Gulf of Maine,NA
2007,4,Mid-Atlantic Bight,NA
2008,1,Offshore,NA
2008,2,Georges Bank,NA
2008,3,Gulf of Maine,NA
2008,4,Mid-Atlantic Bight,NA
2009,1,Offshore,NA
2009,2,Georges Bank,NA
2009,3,Gulf of Maine,NA
2009,4,Mid-Atlantic Bight,NA
2010,1,Offshore,NA
2010,2,Georges Bank,NA
2010,3,Gulf of Maine,NA
2010,4,Mid-Atlantic Bight,NA
