rgn_id,rgn_name,year,ratio
1,Offshore,2001,NA
1,Offshore,2002,NA
1,Offshore,2003,NA
1,Offshore,2004,NA
1,Offshore,2005,NA
1,Offshore,2006,NA
1,Offshore,2007,NA
1,Offshore,2008,NA
1,Offshore,2009,NA
1,Offshore,2010,NA
1,Offshore,2011,NA
1,Offshore,2012,NA
1,Offshore,2013,NA
1,Offshore,2014,NA
1,Offshore,2015,NA
1,Offshore,2016,NA
1,Offshore,2017,NA
2,Georges Bank,2001,NA
2,Georges Bank,2002,NA
2,Georges Bank,2003,NA
2,Georges Bank,2004,NA
2,Georges Bank,2005,NA
2,Georges Bank,2006,NA
2,Georges Bank,2007,NA
2,Georges Bank,2008,NA
2,Georges Bank,2009,NA
2,Georges Bank,2010,NA
2,Georges Bank,2011,NA
2,Georges Bank,2012,NA
2,Georges Bank,2013,NA
2,Georges Bank,2014,NA
2,Georges Bank,2015,NA
2,Georges Bank,2016,NA
2,Georges Bank,2017,NA
3,Gulf of Maine,2001,NA
3,Gulf of Maine,2002,NA
3,Gulf of Maine,2003,NA
3,Gulf of Maine,2004,NA
3,Gulf of Maine,2005,NA
3,Gulf of Maine,2006,NA
3,Gulf of Maine,2007,NA
3,Gulf of Maine,2008,NA
3,Gulf of Maine,2009,NA
3,Gulf of Maine,2010,NA
3,Gulf of Maine,2011,NA
3,Gulf of Maine,2012,NA
3,Gulf of Maine,2013,NA
3,Gulf of Maine,2014,NA
3,Gulf of Maine,2015,NA
3,Gulf of Maine,2016,NA
3,Gulf of Maine,2017,NA
4,Mid-Atlantic Bight,2001,NA
4,Mid-Atlantic Bight,2002,NA
4,Mid-Atlantic Bight,2003,NA
4,Mid-Atlantic Bight,2004,NA
4,Mid-Atlantic Bight,2005,NA
4,Mid-Atlantic Bight,2006,NA
4,Mid-Atlantic Bight,2007,NA
4,Mid-Atlantic Bight,2008,NA
4,Mid-Atlantic Bight,2009,NA
4,Mid-Atlantic Bight,2010,NA
4,Mid-Atlantic Bight,2011,NA
4,Mid-Atlantic Bight,2012,NA
4,Mid-Atlantic Bight,2013,NA
4,Mid-Atlantic Bight,2014,NA
4,Mid-Atlantic Bight,2015,NA
4,Mid-Atlantic Bight,2016,NA
4,Mid-Atlantic Bight,2017,NA
5,Connecticut,2001,3.2570382822973634e-5
5,Connecticut,2002,3.0172305496944787e-5
5,Connecticut,2003,3.338736885252363e-5
5,Connecticut,2004,3.744875353242831e-5
5,Connecticut,2005,4.323421765881259e-5
5,Connecticut,2006,4.81521491728738e-5
5,Connecticut,2007,4.8630487711809124e-5
5,Connecticut,2008,5.552376059594143e-5
5,Connecticut,2009,4.115023108480034e-5
5,Connecticut,2010,4.802180153992145e-5
5,Connecticut,2011,5.979571977617606e-5
5,Connecticut,2012,6.0800607462119906e-5
5,Connecticut,2013,5.9043128773872706e-5
5,Connecticut,2014,5.534639823169055e-5
5,Connecticut,2015,3.814440496174054e-5
5,Connecticut,2016,3.4131948209677066e-5
5,Connecticut,2017,3.789688613905253e-5
6,Maine,2001,4.9636474058650005e-5
6,Maine,2002,4.6915018832391715e-5
6,Maine,2003,5.1587719705768485e-5
6,Maine,2004,5.963535743389062e-5
6,Maine,2005,6.989744015400722e-5
6,Maine,2006,7.667827058621282e-5
6,Maine,2007,8.085464593762581e-5
6,Maine,2008,9.115262824572515e-5
6,Maine,2009,6.710708141027393e-5
6,Maine,2010,7.60278115745736e-5
6,Maine,2011,9.559470579394303e-5
6,Maine,2012,9.718453583578175e-5
6,Maine,2013,9.318125885757444e-5
6,Maine,2014,8.693944414222838e-5
6,Maine,2015,5.9466255550579934e-5
6,Maine,2016,5.2470470064258206e-5
6,Maine,2017,5.715325696674334e-5
7,Massachusetts-North,2001,3.298551046877895e-5
7,Massachusetts-North,2002,3.062012597003921e-5
7,Massachusetts-North,2003,3.427152304265186e-5
7,Massachusetts-North,2004,3.796204572269663e-5
7,Massachusetts-North,2005,4.473926206873607e-5
7,Massachusetts-North,2006,4.87358498276778e-5
7,Massachusetts-North,2007,4.9974011398781515e-5
7,Massachusetts-North,2008,5.6665919813101994e-5
7,Massachusetts-North,2009,4.201328783597254e-5
7,Massachusetts-North,2010,4.7676586958134476e-5
7,Massachusetts-North,2011,5.91717880026271e-5
7,Massachusetts-North,2012,5.9986808543247184e-5
7,Massachusetts-North,2013,5.753766598077975e-5
7,Massachusetts-North,2014,5.336485997609502e-5
7,Massachusetts-North,2015,3.628824618073704e-5
7,Massachusetts-North,2016,3.2377485043133396e-5
7,Massachusetts-North,2017,3.5286481049826737e-5
8,Massachusetts-South,2001,3.298551046877895e-5
8,Massachusetts-South,2002,3.062012597003921e-5
8,Massachusetts-South,2003,3.427152304265186e-5
8,Massachusetts-South,2004,3.796204572269663e-5
8,Massachusetts-South,2005,4.473926206873607e-5
8,Massachusetts-South,2006,4.87358498276778e-5
8,Massachusetts-South,2007,4.9974011398781515e-5
8,Massachusetts-South,2008,5.6665919813101994e-5
8,Massachusetts-South,2009,4.201328783597254e-5
8,Massachusetts-South,2010,4.7676586958134476e-5
8,Massachusetts-South,2011,5.91717880026271e-5
8,Massachusetts-South,2012,5.9986808543247184e-5
8,Massachusetts-South,2013,5.753766598077975e-5
8,Massachusetts-South,2014,5.336485997609502e-5
8,Massachusetts-South,2015,3.628824618073704e-5
8,Massachusetts-South,2016,3.2377485043133396e-5
8,Massachusetts-South,2017,3.5286481049826737e-5
9,New Hampshire,2001,4.1078840318292416e-5
9,New Hampshire,2002,3.760518022998673e-5
9,New Hampshire,2003,4.214011388966508e-5
9,New Hampshire,2004,4.70528603518189e-5
9,New Hampshire,2005,5.4750760652957894e-5
9,New Hampshire,2006,6.0029145589962616e-5
9,New Hampshire,2007,6.21590927595989e-5
9,New Hampshire,2008,7.119096391673877e-5
9,New Hampshire,2009,5.172208374135731e-5
9,New Hampshire,2010,5.9984100043829795e-5
9,New Hampshire,2011,7.462678051487509e-5
9,New Hampshire,2012,7.545221917073093e-5
9,New Hampshire,2013,7.256178863923486e-5
9,New Hampshire,2014,6.6717882853327e-5
9,New Hampshire,2015,4.591386654560974e-5
9,New Hampshire,2016,4.051377416713563e-5
9,New Hampshire,2017,4.418491525160247e-5
10,New York,2001,3.063567815895164e-5
10,New York,2002,2.9257761427831364e-5
10,New York,2003,3.3234627141859346e-5
10,New York,2004,3.752971363351612e-5
10,New York,2005,4.320014082996158e-5
10,New York,2006,4.626209917265992e-5
10,New York,2007,4.642642036373425e-5
10,New York,2008,5.402233564604185e-5
10,New York,2009,4.0753332525098576e-5
10,New York,2010,4.5983195786151455e-5
10,New York,2011,5.688711437449138e-5
10,New York,2012,5.808005628969742e-5
10,New York,2013,5.620019790635904e-5
10,New York,2014,5.187058360077486e-5
10,New York,2015,3.650250257239194e-5
10,New York,2016,3.211767736237857e-5
10,New York,2017,3.424673352547493e-5
11,Rhode Island,2001,4.4848723824261726e-5
11,Rhode Island,2002,4.121449090983707e-5
11,Rhode Island,2003,4.488755287917721e-5
11,Rhode Island,2004,5.076586848385738e-5
11,Rhode Island,2005,5.8888999485113145e-5
11,Rhode Island,2006,6.500063564259935e-5
11,Rhode Island,2007,6.670278743971298e-5
11,Rhode Island,2008,7.470191199954849e-5
11,Rhode Island,2009,5.500602377280018e-5
11,Rhode Island,2010,6.342228373038095e-5
11,Rhode Island,2011,7.93100734003261e-5
11,Rhode Island,2012,8.010669333235478e-5
11,Rhode Island,2013,7.647759514431766e-5
11,Rhode Island,2014,7.115186184419606e-5
11,Rhode Island,2015,4.894541169214917e-5
11,Rhode Island,2016,4.33447584619528e-5
11,Rhode Island,2017,4.738155167441693e-5
