"","year","rgn_id","rgn_name","score"
"1",2005,12,"Northeast",0.71350899198681
"2",2006,12,"Northeast",0.713326221896306
"3",2007,12,"Northeast",0.71314079865726
"4",2008,12,"Northeast",0.712773523092273
"5",2009,12,"Northeast",0.712720274571705
"6",2010,12,"Northeast",0.712705244403543
"7",2011,12,"Northeast",0.713025616751796
"8",2012,12,"Northeast",0.713335532893049
"9",2013,12,"Northeast",0.713208674921233
"10",2014,12,"Northeast",0.708933328443103
"11",2015,12,"Northeast",0.718222409811303
"12",2016,12,"Northeast",0.794186265032408
"13",2017,12,"Northeast",0.730104757827573
"14",2005,5,"Connecticut",0.605688920092443
"15",2005,2,"Georges Bank",0.687367583688507
"16",2005,3,"Gulf of Maine",0.603732916951041
"17",2005,6,"Maine",0.604804984248349
"18",2005,7,"Massachusetts-North",0.609954220618863
"19",2005,8,"Massachusetts-South",0.605762762434924
"20",2005,4,"Mid-Atlantic Bight",0.615586449441525
"21",2005,9,"New Hampshire",0.651468953239384
"22",2005,10,"New York",0.613744699852999
"23",2005,1,"Offshore",0.6026075766487
"24",2005,11,"Rhode Island",0.60465965362463
"25",2006,5,"Connecticut",0.605839778478411
"26",2006,2,"Georges Bank",0.687099778678313
"27",2006,3,"Gulf of Maine",0.603571622354062
"28",2006,6,"Maine",0.604808056127522
"29",2006,7,"Massachusetts-North",0.610012721300687
"30",2006,8,"Massachusetts-South",0.605415029772335
"31",2006,4,"Mid-Atlantic Bight",0.615961700340766
"32",2006,9,"New Hampshire",0.651376881684199
"33",2006,10,"New York",0.613937510994474
"34",2006,1,"Offshore",0.602406374235034
"35",2006,11,"Rhode Island",0.604617621621852
"36",2007,5,"Connecticut",0.605116320743919
"37",2007,2,"Georges Bank",0.687217960993851
"38",2007,3,"Gulf of Maine",0.603257930740215
"39",2007,6,"Maine",0.604626096247757
"40",2007,7,"Massachusetts-North",0.609837249996398
"41",2007,8,"Massachusetts-South",0.605329302503046
"42",2007,4,"Mid-Atlantic Bight",0.615728416557361
"43",2007,9,"New Hampshire",0.651099858877128
"44",2007,10,"New York",0.613362580755142
"45",2007,1,"Offshore",0.602202427042118
"46",2007,11,"Rhode Island",0.604436619657528
"47",2008,5,"Connecticut",0.606201300901449
"48",2008,2,"Georges Bank",0.686891160683398
"49",2008,3,"Gulf of Maine",0.603131640351676
"50",2008,6,"Maine",0.604637273796152
"51",2008,7,"Massachusetts-North",0.609952531315991
"52",2008,8,"Massachusetts-South",0.604942222389116
"53",2008,4,"Mid-Atlantic Bight",0.614165147348856
"54",2008,9,"New Hampshire",0.651082094714505
"55",2008,10,"New York",0.613598519815945
"56",2008,1,"Offshore",0.600321550401346
"57",2008,11,"Rhode Island",0.604667613529147
"58",2009,5,"Connecticut",0.605966986273362
