year,layer,mean_score,rgn_id,rgn_name,ref,score
2009,commercial,0.3257855822550832,12,Northeast,0.4305555555555556,0.69
2010,commercial,0.3296500920810313,12,Northeast,0.4305555555555556,0.7
2011,commercial,0.3291896869244936,12,Northeast,0.4305555555555556,0.7
2012,commercial,0.3327239488117002,12,Northeast,0.4305555555555556,0.7
2013,commercial,0.3403284671532847,12,Northeast,0.4305555555555556,0.72
2014,commercial,0.32755474452554745,12,Northeast,0.4305555555555556,0.69
2015,commercial,0.3380474452554745,12,Northeast,0.4305555555555556,0.71
2016,commercial,0.3380474452554745,12,Northeast,0.4305555555555556,0.71
2009,commercial,0.26704545454545453,5,Connecticut,0.4305555555555556,0.56
2009,commercial,0.386,6,Maine,0.4305555555555556,0.82
2009,commercial,0.38114754098360654,7,Massachusetts-North,0.4305555555555556,0.8
2009,commercial,0.3813559322033898,8,Massachusetts-South,0.4305555555555556,0.81
2009,commercial,0.4027777777777778,9,New Hampshire,0.4305555555555556,0.85
2009,commercial,0.2627906976744186,10,New York,0.4305555555555556,0.55
2009,commercial,0.35526315789473684,11,Rhode Island,0.4305555555555556,0.75
2010,commercial,0.26704545454545453,5,Connecticut,0.4305555555555556,0.56
2010,commercial,0.39285714285714285,6,Maine,0.4305555555555556,0.83
2010,commercial,0.38114754098360654,7,Massachusetts-North,0.4305555555555556,0.8
2010,commercial,0.3813559322033898,8,Massachusetts-South,0.4305555555555556,0.81
2010,commercial,0.4117647058823529,9,New Hampshire,0.4305555555555556,0.87
2010,commercial,0.2661290322580645,10,New York,0.4305555555555556,0.56
2010,commercial,0.3815789473684211,11,Rhode Island,0.4305555555555556,0.81
2011,commercial,0.2727272727272727,5,Connecticut,0.4305555555555556,0.58
2011,commercial,0.38492063492063494,6,Maine,0.4305555555555556,0.81
2011,commercial,0.39344262295081966,7,Massachusetts-North,0.4305555555555556,0.83
2011,commercial,0.3813559322033898,8,Massachusetts-South,0.4305555555555556,0.81
2011,commercial,0.4117647058823529,9,New Hampshire,0.4305555555555556,0.87
2011,commercial,0.2661290322580645,10,New York,0.4305555555555556,0.56
2011,commercial,0.3684210526315789,11,Rhode Island,0.4305555555555556,0.78
2012,commercial,0.2722222222222222,5,Connecticut,0.4305555555555556,0.57
2012,commercial,0.3888888888888889,6,Maine,0.4305555555555556,0.82
2012,commercial,0.4016393442622951,7,Massachusetts-North,0.4305555555555556,0.85
2012,commercial,0.4025423728813559,8,Massachusetts-South,0.4305555555555556,0.85
2012,commercial,0.4166666666666667,9,New Hampshire,0.4305555555555556,0.88
2012,commercial,0.2636986301369863,10,New York,0.4305555555555556,0.56
2012,commercial,0.3815789473684211,11,Rhode Island,0.4305555555555556,0.81
2013,commercial,0.26666666666666666,5,Connecticut,0.4305555555555556,0.56
2013,commercial,0.4074803149606299,6,Maine,0.4305555555555556,0.86
2013,commercial,0.4098360655737705,7,Massachusetts-North,0.4305555555555556,0.87
2013,commercial,0.423728813559322,8,Massachusetts-South,0.4305555555555556,0.89
2013,commercial,0.4166666666666667,9,New Hampshire,0.4305555555555556,0.88
2013,commercial,0.2659817351598174,10,New York,0.4305555555555556,0.56
2013,commercial,0.3684210526315789,11,Rhode Island,0.4305555555555556,0.78
2014,commercial,0.26666666666666666,5,Connecticut,0.4305555555555556,0.56
2014,commercial,0.39173228346456695,6,Maine,0.4305555555555556,0.83
2014,commercial,0.38114754098360654,7,Massachusetts-North,0.4305555555555556,0.8
2014,commercial,0.3855932203389831,8,Massachusetts-South,0.4305555555555556,0.81
2014,commercial,0.4027777777777778,9,New Hampshire,0.4305555555555556,0.85
2014,commercial,0.2636986301369863,10,New York,0.4305555555555556,0.56
2014,commercial,0.35526315789473684,11,Rhode Island,0.4305555555555556,0.75
2015,commercial,0.26666666666666666,5,Connecticut,0.4305555555555556,0.56
2015,commercial,0.4094488188976378,6,Maine,0.4305555555555556,0.86
2015,commercial,0.4139344262295082,7,Massachusetts-North,0.4305555555555556,0.87
2015,commercial,0.4110169491525424,8,Massachusetts-South,0.4305555555555556,0.87
2015,commercial,0.4166666666666667,9,New Hampshire,0.4305555555555556,0.88
2015,commercial,0.2625570776255708,10,New York,0.4305555555555556,0.55
2015,commercial,0.35526315789473684,11,Rhode Island,0.4305555555555556,0.75
2016,commercial,0.26666666666666666,5,Connecticut,0.4305555555555556,0.56
2016,commercial,0.4153543307086614,6,Maine,0.4305555555555556,0.88
2016,commercial,0.4057377049180328,7,Massachusetts-North,0.4305555555555556,0.86
2016,commercial,0.4025423728813559,8,Massachusetts-South,0.4305555555555556,0.85
2016,commercial,0.4305555555555556,9,New Hampshire,0.4305555555555556,0.91
2016,commercial,0.2625570776255708,10,New York,0.4305555555555556,0.55
2016,commercial,0.35526315789473684,11,Rhode Island,0.4305555555555556,0.75
