rgn_id,common,sciname,year
12,acadian redfish,sebastes fasciatus,2017
12,alewife,alosa pseudoharengus,2017
12,american lobster,homarus americanus,2017
12,american plaice,hippoglossoides platessoides,2017
12,american shad,alosa sapidissima,2017
12,arctic tern,sterna paradisaea,2017
12,atlantic spotted dolphin,stenella frontalis,2017
12,atlantic white sided dolphin,lagenorhynchus acutus,2017
12,atlantic cod,gadus morhua,2017
12,atlantic croaker,micropogonias undulatus,2017
12,atlantic halibut,hippoglossus hippoglossus,2017
12,atlantic herring,clupea harengus,2017
12,atlantic mackerel,scomber scombrus,2017
12,atlantic menhaden,brevoortia tyrannus,2017
12,atlantic puffin,fratercula arctica,2017
12,atlantic sturgeon,acipenser oxyrinchus,2017
12,atlantic torpedo,torpedo nobiliana,2017
12,atlantic wolffish,anarhichas lupus,2017
12,audubons shearwater,puffinus lherminieri,2017
12,band rumped storm petrel,oceanodroma castro,2017
12,barndoor skate,dipturus laevis,2017
12,bay anchovy,anchoa mitchilli,2017
12,black capped petrel,pterodroma hasitata,2017
12,black guillemot,cepphus grylle,2017
12,black legged kittiwake,rissa tridactyla,2017
12,black scoter,melanitta americana,2017
12,black sea bass,centropristis striata,2017
12,blackbelly rosefish,helicolenus dactylopterus,2017
12,blainvilles beaked whale,mesoplodon densirostris,2017
12,blueback herring,alosa aestivalis,2017
12,bluefish,pomatomus saltatrix,2017
12,bonapartes gull,chroicocephalus philadelphia,2017
12,bottlenose dolphin,tursiops truncatus,2017
12,bridled tern,onychoprion anaethetus,2017
12,brown pelican,pelecanus occidentalis,2017
12,bullnose ray,myliobatis freminvillii,2017
12,butterfish,peprilus triacanthus,2017
12,clearnose skate,raja eglanteria,2017
12,common eider,somateria mollissima,2017
12,common loon,gavia immer,2017
12,common murre,uria aalge,2017
12,common tern,sterna hirundo,2017
12,corys shearwater,calonectris borealis,2017
12,cunner,tautogolabrus adspersus,2017
12,cusk,brosme brosme,2017
12,cuviers beaked whale,ziphius cavirostris,2017
12,double crested cormorant,phalacrocorax auritus,2017
12,dovekie,alle alle,2017
12,fin whale,balaenoptera physalus,2017
12,fourspot flounder,hippoglossina oblonga,2017
12,gervais beaked whale,mesoplodon europaeus,2017
12,goosefish,lophius americanus,2017
12,great black backed gull,larus marinus,2017
12,great shearwater,ardenna gravis,2017
12,great skua,stercorarius skua,2017
12,gulf stream flounder,citharichthys arctifrons,2017
12,haddock,melanogrammus aeglefinus,2017
12,harbor porpoise,phocoena phocoena,2017
12,herring gull,larus smithsonianus,2017
12,horned grebe,podiceps auritus,2017
12,horseshoe crab,limulus polyphemus,2017
12,humpback whale,megaptera novaeangliae,2017
12,jonah crab,cancer borealis,2017
12,laughing gull,leucophaeus atricilla,2017
12,leachs storm petrel,oceanodroma leucorhoa,2017
12,least tern,sternula antillarum,2017
12,little skate,leucoraja erinacea,2017
12,long finned pilot whale,globicephala melas,2017
12,long tailed duck,clangula hyemalis,2017
12,longfin squid,doryteuthis pealeii,2017
12,longhorn sculpin,myoxocephalus octodecemspinosus,2017
12,manx shearwater,puffinus puffinus,2017
12,minke whale,balaenoptera acutorostrata,2017
12,north atlantic right whale,eubalaena glacialis,2017
12,northern fulmar,fulmarus glacialis,2017
12,northern gannet,morus bassanus,2017
12,northern kingfish,menticirrhus saxatilis,2017
12,northern pipefish,syngnathus fuscus,2017
12,northern puffer,sphoeroides maculatus,2017
12,northern sand lance,ammodytes dubius,2017
12,northern searobin,prionotus carolinus,2017
12,northern shortfin squid,illex illecebrosus,2017
12,northern shrimp,pandalus borealis,2017
12,ocean pout,zoarces americanus,2017
12,parasitic jaeger,stercorarius parasiticus,2017
12,pinfish,lagodon rhomboides,2017
12,pollock,pollachius virens,2017
12,pomarine jaeger,stercorarius pomarinus,2017
12,razorbill,alca torda,2017
12,red breasted merganser,mergus serrator,2017
12,red hake,urophycis chuss,2017
12,red necked phalarope,phalaropus lobatus,2017
12,red phalarope,phalaropus fulicarius,2017
12,red throated loon,gavia stellata,2017
12,ring billed gull,larus delawarensis,2017
12,rissos dolphin,grampus griseus,2017
12,roseate tern,sterna dougallii,2017
12,rosette skate,leucoraja garmani,2017
12,roughtail stingray,dasyatis centroura,2017
12,round herring,etrumeus sadina,2017
12,royal tern,thalasseus maximus,2017
12,scup,stenotomus chrysops,2017
12,sea raven,hemitripterus americanus,2017
12,sea scallop,placopecten magellanicus,2017
12,sei whale,balaenoptera borealis,2017
12,short beaked common dolphin,delphinus delphis,2017
12,short finned pilot whale,globicephala macrorhynchus,2017
12,silver hake,merluccius bilinearis,2017
12,smooth dogfish,mustelus canis,2017
12,smooth skate,malacoraja senta,2017
12,sooty shearwater,ardenna grisea,2017
12,sooty tern,onychoprion fuscatus,2017
12,south polar skua,stercorarius maccormicki,2017
12,sowerbys beaked whale,mesoplodon bidens,2017
12,sperm whale,physeter macrocephalus,2017
12,spiny dogfish,squalus acanthias,2017
12,spot,leiostomus xanthurus,2017
12,spotted hake,urophycis regia,2017
12,striped dolphin,stenella coeruleoalba,2017
12,striped anchovy,anchoa hepsetus,2017
12,striped bass,morone saxatilis,2017
12,striped searobin,prionotus evolans,2017
12,summer flounder,paralichthys dentatus,2017
12,surf scoter,melanitta perspicillata,2017
12,tautog,tautoga onitis,2017
12,thick billed murre,uria lomvia,2017
12,thorny skate,amblyraja radiata,2017
12,tilefish,lopholatilus chamaeleonticeps,2017
12,trues beaked whale,mesoplodon mirus,2017
12,weakfish,cynoscion regalis,2017
12,white hake,urophycis tenuis,2017
12,white winged scoter,melanitta fusca,2017
12,wilsons storm petrel,oceanites oceanicus,2017
12,windowpane,scophthalmus aquosus,2017
12,winter flounder,pseudopleuronectes americanus,2017
12,winter skate,leucoraja ocellata,2017
12,witch flounder,glyptocephalus cynoglossus,2017
12,yellowtail flounder,pleuronectes ferruginea,2017
1,acadian redfish,sebastes fasciatus,2017
2,acadian redfish,sebastes fasciatus,2017
3,acadian redfish,sebastes fasciatus,2017
6,acadian redfish,sebastes fasciatus,2017
7,acadian redfish,sebastes fasciatus,2017
1,alewife,alosa pseudoharengus,2017
2,alewife,alosa pseudoharengus,2017
3,alewife,alosa pseudoharengus,2017
4,alewife,alosa pseudoharengus,2017
6,alewife,alosa pseudoharengus,2017
7,alewife,alosa pseudoharengus,2017
8,alewife,alosa pseudoharengus,2017
9,alewife,alosa pseudoharengus,2017
10,alewife,alosa pseudoharengus,2017
11,alewife,alosa pseudoharengus,2017
1,american lobster,homarus americanus,2017
2,american lobster,homarus americanus,2017
3,american lobster,homarus americanus,2017
4,american lobster,homarus americanus,2017
6,american lobster,homarus americanus,2017
7,american lobster,homarus americanus,2017
8,american lobster,homarus americanus,2017
9,american lobster,homarus americanus,2017
10,american lobster,homarus americanus,2017
11,american lobster,homarus americanus,2017
2,american plaice,hippoglossoides platessoides,2017
3,american plaice,hippoglossoides platessoides,2017
6,american plaice,hippoglossoides platessoides,2017
7,american plaice,hippoglossoides platessoides,2017
9,american plaice,hippoglossoides platessoides,2017
1,american shad,alosa sapidissima,2017
2,american shad,alosa sapidissima,2017
3,american shad,alosa sapidissima,2017
4,american shad,alosa sapidissima,2017
6,american shad,alosa sapidissima,2017
7,american shad,alosa sapidissima,2017
8,american shad,alosa sapidissima,2017
9,american shad,alosa sapidissima,2017
10,american shad,alosa sapidissima,2017
11,american shad,alosa sapidissima,2017
1,arctic tern,sterna paradisaea,2017
2,arctic tern,sterna paradisaea,2017
3,arctic tern,sterna paradisaea,2017
4,arctic tern,sterna paradisaea,2017
6,arctic tern,sterna paradisaea,2017
7,arctic tern,sterna paradisaea,2017
8,arctic tern,sterna paradisaea,2017
9,arctic tern,sterna paradisaea,2017
10,arctic tern,sterna paradisaea,2017
11,arctic tern,sterna paradisaea,2017
1,atlantic spotted dolphin,stenella frontalis,2017
1,atlantic white sided dolphin,lagenorhynchus acutus,2017
2,atlantic white sided dolphin,lagenorhynchus acutus,2017
3,atlantic white sided dolphin,lagenorhynchus acutus,2017
4,atlantic white sided dolphin,lagenorhynchus acutus,2017
6,atlantic white sided dolphin,lagenorhynchus acutus,2017
7,atlantic white sided dolphin,lagenorhynchus acutus,2017
2,atlantic cod,gadus morhua,2017
3,atlantic cod,gadus morhua,2017
4,atlantic cod,gadus morhua,2017
6,atlantic cod,gadus morhua,2017
7,atlantic cod,gadus morhua,2017
9,atlantic cod,gadus morhua,2017
11,atlantic cod,gadus morhua,2017
4,atlantic croaker,micropogonias undulatus,2017
2,atlantic halibut,hippoglossus hippoglossus,2017
3,atlantic halibut,hippoglossus hippoglossus,2017
6,atlantic halibut,hippoglossus hippoglossus,2017
7,atlantic halibut,hippoglossus hippoglossus,2017
9,atlantic halibut,hippoglossus hippoglossus,2017
1,atlantic herring,clupea harengus,2017
2,atlantic herring,clupea harengus,2017
3,atlantic herring,clupea harengus,2017
4,atlantic herring,clupea harengus,2017
6,atlantic herring,clupea harengus,2017
7,atlantic herring,clupea harengus,2017
8,atlantic herring,clupea harengus,2017
9,atlantic herring,clupea harengus,2017
10,atlantic herring,clupea harengus,2017
11,atlantic herring,clupea harengus,2017
1,atlantic mackerel,scomber scombrus,2017
2,atlantic mackerel,scomber scombrus,2017
3,atlantic mackerel,scomber scombrus,2017
