"sciname","score","year"
"acipenser brevirostrum",-0.025,2017
"acipenser oxyrinchus",0.025,2017
"synagrops bellus",NA,2017
"synagrops japonicus",0,2017
"paroncheilus affinis",NA,2017
"ariomma bondi",NA,2017
"ariomma melanum",NA,2017
"membras martinica",NA,2017
"menidia menidia",0,2017
"synodus foetens",NA,2017
"trachinocephalus myops",NA,2017
"benthalbella infans",NA,2017
"scopelarchus analis",NA,2017
"arctozenus risso",NA,2017
"lestidiops affinis",NA,2017
"lestidiops jayakari",NA,2017
"lestidium atlanticum",NA,2017
"lestrolepis intermedia",NA,2017
"macroparalepis affinis",NA,2017
"macroparalepis brevis",NA,2017
"magnisudis atlantica",NA,2017
"paralepis elongata",NA,2017
"stemonosudis intermedia",NA,2017
"sudis atrox",NA,2017
"sudis hyalina",NA,2017
"omosudis lowii",NA,2017
"ahliesaurus berryi",NA,2017
"scopelosaurus argenteus",NA,2017
"scopelosaurus lepidus",NA,2017
"scopelosaurus smithii",NA,2017
"bathypterois dubius",NA,2017
"bathypterois grallator",NA,2017
"bathypterois longipes",NA,2017
"bathypterois phenax",NA,2017
"coccorella atlantica",NA,2017
"evermannella balbo",NA,2017
"odontostomops normalops",NA,2017
"chlorophthalmus agassizi",NA,2017
"parasudis truculenta",NA,2017
"bathysaurus ferox",NA,2017
"bathysaurus mollis",NA,2017
"anotopterus pharao",NA,2017
"alepisaurus brevirostris",NA,2017
"alepisaurus ferox",NA,2017
"opsanus tau",NA,2017
"scomberesox saurus",NA,2017
"euleptorhamphus velox",NA,2017
"hemiramphus balao",NA,2017
"hemiramphus brasiliensis",NA,2017
"hyporhamphus meeki",NA,2017
"oxyporhamphus similis",NA,2017
"cheilopogon cyanopterus",NA,2017
"cheilopogon exsiliens",NA,2017
"cheilopogon furcatus",NA,2017
"cheilopogon melanurus",NA,2017
"cheilopogon nigricans",NA,2017
"exocoetus obtusirostris",NA,2017
"exocoetus volitans",NA,2017
"hirundichthys speculiger",NA,2017
"hirundichthys volador",NA,2017
"prognichthys glaphyrae",NA,2017
"ablennes hians",NA,2017
"strongylura marina",NA,2017
"gephyroberyx darwinii",NA,2017
"hoplostethus mediterraneus",NA,2017
"diretmichthys parini",NA,2017
"diretmus argenteus",NA,2017
"beryx decadactylus",NA,2017
"beryx splendens",NA,2017
"anoplogaster cornuta",NA,2017
"ostichthys trachypoma",NA,2017
"brama brama",NA,2017
"pterycombus brama",NA,2017
"taractichthys longipinnis",NA,2017
"chaetodon ocellatus",0,2017
"chaetodon capistratus",0,2017
"foetorepus agassizii",NA,2017
"foetorepus goodenbeani",NA,2017
"antigonia capros",0,2017
"antigonia combatia",NA,2017
"alectis ciliaris",NA,2017
"caranx bartholomaei",0,2017
"caranx crysos",NA,2017
"caranx hippos",0,2017
"caranx latus",0,2017
"caranx ruber",NA,2017
"chloroscombrus chrysurus",0,2017
"decapterus macarellus",NA,2017
"decapterus punctatus",0,2017
"elagatis bipinnulata",0,2017
"naucrates ductor",0,2017
"selar crumenophthalmus",0,2017
"selene setapinnis",0,2017
"selene vomer",0,2017
"seriola dumerili",NA,2017
"seriola fasciata",NA,2017
"seriola rivoliana",0,2017
"seriola zonata",0,2017
"trachinotus carolinus",NA,2017
"trachinotus falcatus",0,2017
"trachinotus goodei",NA,2017
"trachurus lathami",0,2017
"oligoplites saurus",NA,2017
"centrolophus niger",NA,2017
"hyperoglyphe perciformis",NA,2017
"barbourisia rufa",NA,2017
"cetomimus gillii",NA,2017
"cetostoma regani",NA,2017
"ditropichthys storeri",NA,2017
"gyrinomimus myersi",NA,2017
"rondeletia loricata",NA,2017
"chiasmodon niger",NA,2017
"dysalotus alcocki",NA,2017
"dysalotus oligoscolus",NA,2017
"kali indica",NA,2017
"kali kerberti",NA,2017
"kali macrura",NA,2017
"kali parri",NA,2017
"pseudoscopelus altipinnis",NA,2017
"pseudoscopelus scriptus",NA,2017
"pseudoscopelus scutatus",NA,2017
"carcharhinus limbatus",NA,2017
"carcharhinus obscurus",-0.025,2017
"carcharhinus plumbeus",-0.025,2017
"carcharias taurus",NA,2017
"carcharodon carcharias",NA,2017
"cetorhinus maximus",-0.025,2017
"dalatias licha",-0.025,2017
"lamna nasus",-0.025,2017
"rhincodon typus",-0.025,2017
"odontaspis noronhai",NA,2017
"alopias vulpinus",-0.025,2017
"isurus oxyrinchus",-0.025,2017
"mustelus canis",NA,2017
"carcharhinus brevipinna",NA,2017
"carcharhinus falciformis",-0.025,2017
"carcharhinus leucas",NA,2017
"carcharhinus longimanus",-0.025,2017
"galeocerdo cuvier",NA,2017
"negaprion brevirostris",NA,2017
"prionace glauca",NA,2017
"rhizoprionodon terraenovae",NA,2017
"sphyrna lewini",NA,2017
"sphyrna mokarran",-0.025,2017
"sphyrna tiburo",0,2017
"sphyrna zygaena",-0.025,2017
"dipturus laevis",0,2017
"centroscymnus coelolepis",NA,2017
"echinorhinus brucus",NA,2017
"apristurus melanoasper",NA,2017
"apristurus laurussonii",NA,2017
