goal,dimension,region_id,score,year
BD,pressures,1,NA,2005
BD,pressures,2,NA,2005
BD,pressures,3,NA,2005
BD,pressures,4,NA,2005
BD,pressures,5,NA,2005
BD,pressures,6,NA,2005
BD,pressures,7,NA,2005
BD,pressures,8,NA,2005
BD,pressures,9,NA,2005
BD,pressures,10,NA,2005
BD,pressures,11,NA,2005
BD,pressures,0,NA,2005
CW,pressures,1,17.08,2005
CW,pressures,2,18.85,2005
CW,pressures,3,12.94,2005
CW,pressures,4,20.2,2005
CW,pressures,5,59.19,2005
CW,pressures,6,15.95,2005
CW,pressures,7,29.21,2005
CW,pressures,8,21.5,2005
CW,pressures,9,42.95,2005
CW,pressures,10,53.23,2005
CW,pressures,11,45.44,2005
CW,pressures,0,38.38,2005
ECO,pressures,1,NA,2005
ECO,pressures,2,NA,2005
ECO,pressures,3,NA,2005
ECO,pressures,4,NA,2005
ECO,pressures,5,15.31,2005
ECO,pressures,6,14.11,2005
ECO,pressures,7,17.37,2005
ECO,pressures,8,16.51,2005
ECO,pressures,9,15.54,2005
ECO,pressures,10,16.85,2005
ECO,pressures,11,17.19,2005
ECO,pressures,0,15.85,2005
FIS,pressures,1,5.66,2005
FIS,pressures,2,13.71,2005
FIS,pressures,3,12.75,2005
FIS,pressures,4,14.72,2005
FIS,pressures,5,26.28,2005
FIS,pressures,6,11.75,2005
FIS,pressures,7,19.34,2005
FIS,pressures,8,16.42,2005
FIS,pressures,9,15.73,2005
FIS,pressures,10,21.48,2005
FIS,pressures,11,15.09,2005
FIS,pressures,0,25.04,2005
FP,pressures,1,NA,2005
FP,pressures,2,NA,2005
FP,pressures,3,NA,2005
FP,pressures,4,NA,2005
FP,pressures,5,NA,2005
FP,pressures,6,NA,2005
FP,pressures,7,NA,2005
FP,pressures,8,NA,2005
FP,pressures,9,NA,2005
FP,pressures,10,NA,2005
FP,pressures,11,NA,2005
FP,pressures,0,NA,2005
HAB,pressures,1,5.11,2005
HAB,pressures,2,27.3,2005
HAB,pressures,3,31.65,2005
HAB,pressures,4,28.97,2005
HAB,pressures,5,50.04,2005
HAB,pressures,6,20.37,2005
HAB,pressures,7,34.84,2005
HAB,pressures,8,31.31,2005
HAB,pressures,9,36.57,2005
HAB,pressures,10,46.98,2005
HAB,pressures,11,41.85,2005
HAB,pressures,0,40.96,2005
HS,pressures,1,17.08,2005
HS,pressures,2,18.85,2005
HS,pressures,3,12.94,2005
HS,pressures,4,20.2,2005
HS,pressures,5,47.91,2005
HS,pressures,6,22.39,2005
HS,pressures,7,32.96,2005
HS,pressures,8,31.58,2005
HS,pressures,9,33.22,2005
HS,pressures,10,45.69,2005
HS,pressures,11,38.21,2005
HS,pressures,0,39.95,2005
ICO,pressures,1,7.11,2005
ICO,pressures,2,10.99,2005
ICO,pressures,3,8.73,2005
ICO,pressures,4,11.82,2005
ICO,pressures,5,30.54,2005
ICO,pressures,6,12.85,2005
ICO,pressures,7,20.21,2005
ICO,pressures,8,18.75,2005
ICO,pressures,9,14.93,2005
ICO,pressures,10,24.69,2005
ICO,pressures,11,15.32,2005
ICO,pressures,0,30.91,2005
LE,pressures,1,NA,2005
LE,pressures,2,NA,2005
LE,pressures,3,NA,2005
LE,pressures,4,NA,2005
LE,pressures,5,NA,2005
LE,pressures,6,NA,2005
LE,pressures,7,NA,2005
LE,pressures,8,NA,2005
LE,pressures,9,NA,2005
LE,pressures,10,NA,2005
LE,pressures,11,NA,2005
LE,pressures,0,NA,2005
LIV,pressures,1,NA,2005
LIV,pressures,2,NA,2005
LIV,pressures,3,NA,2005
LIV,pressures,4,NA,2005
LIV,pressures,5,15.31,2005
LIV,pressures,6,14.11,2005
LIV,pressures,7,17.37,2005
LIV,pressures,8,16.51,2005
LIV,pressures,9,15.54,2005
LIV,pressures,10,16.85,2005
LIV,pressures,11,17.19,2005
LIV,pressures,0,15.85,2005
LSP,pressures,1,6.59,2005
LSP,pressures,2,20.52,2005
LSP,pressures,3,21.49,2005
LSP,pressures,4,21.88,2005
LSP,pressures,5,33.36,2005
LSP,pressures,6,18.44,2005
LSP,pressures,7,33.58,2005
LSP,pressures,8,30.46,2005
LSP,pressures,9,33.54,2005
LSP,pressures,10,42.34,2005
LSP,pressures,11,40.73,2005
LSP,pressures,0,30.48,2005
MAR,pressures,1,9.2,2005
MAR,pressures,2,14.97,2005
MAR,pressures,3,13.14,2005
MAR,pressures,4,15.98,2005
MAR,pressures,5,41.01,2005
MAR,pressures,6,16.25,2005
MAR,pressures,7,32.31,2005
MAR,pressures,8,29.67,2005
MAR,pressures,9,24.02,2005
MAR,pressures,10,40.1,2005
MAR,pressures,11,24.31,2005
MAR,pressures,0,45.45,2005
RAO,pressures,1,7.08,2005
RAO,pressures,2,14.35,2005
RAO,pressures,3,12.77,2005
RAO,pressures,4,15.41,2005
