goal,model,lag,yrs,rgns,adj_r_squared,aicc,model_error,intercept,factor_region_id_1,factor_region_id_10,factor_region_id_11,factor_region_id_2,factor_region_id_3,factor_region_id_4,factor_region_id_5,factor_region_id_6,factor_region_id_7,factor_region_id_8,factor_region_id_9,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,factor_year_2016,res_reg,res_soc,rmse,rsquared,mae
CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,11,7,0.26163053356403854,-159.44466620963144,NA,1.0899*,NA,-0.0475,-0.0829,NA,NA,NA,-0.0350,0.1098*,0.0423,0.0944*,0.0231,-0.1461**,-0.0479,-0.0428,-0.0577,-0.1157*,-0.0909*,-0.0752,-0.1297**,-0.0989*,-0.2238***,-0.1278*,-1.2607*,NA,0.1007507158024977,0.13917971466149578,0.07544845889834428
CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),2,10,7,0.40804153685841216,-104.65347241408224,NA,1.7791*,NA,-0.0814,-0.1911*,NA,NA,NA,-0.0760,0.2133**,0.0437,0.1874***,0.0353,0.0147,0.1123*,0.0793,0.0145,-0.0222,0.0334,-0.0221,-0.0407,-0.1392*,-0.1605**,NA,-2.2248*,NA,0.12723863061748053,0.27571374163983925,0.09561498067065734
CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),3,9,7,0.43193900778161,-37.09824474410309,NA,2.3380*,NA,-0.1195,-0.2599*,NA,NA,NA,-0.1315°,0.3140**,0.0723,0.2939***,0.0153,0.0349,0.1014,-0.0112,-0.0372,-0.0482,-0.0578,-0.0779,-0.2280**,-0.2188*,NA,NA,-2.8232*,NA,0.18067218416328368,0.30215850030265196,0.13455117499121844
CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),4,8,7,0.4736484392484841,1.4298875684760546,NA,3.3512*,NA,-0.1609°,-0.3670*,NA,NA,NA,-0.1863°,0.4173**,0.1016,0.4147***,0.0123,0.0271,-0.0134,-0.0954,-0.0804,-0.1669,-0.1324,-0.3136**,-0.3424**,NA,NA,NA,-3.9725*,NA,0.22843238447049743,0.3405348603975706,0.165797944661095
CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),5,7,7,0.5171523471204049,25.558594867588496,NA,3.7279°,NA,-0.1958,-0.4213*,NA,NA,NA,-0.2312°,0.5114**,0.1452,0.5274***,-0.0073,-0.0625,-0.0629,-0.1144,-0.1785,-0.2206°,-0.3440**,-0.3909**,NA,NA,NA,NA,-4.3267°,NA,0.2714622821184148,0.38788238727979696,0.20032824453950598
CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),6,6,7,0.6012652307660895,30.665766126759817,NA,4.9827*,NA,-0.2300°,-0.5602*,NA,NA,NA,-0.2836*,0.6383***,0.1789,0.6346***,-0.0066,0.0148,0.0211,-0.1358,-0.1267,-0.3442**,-0.3288*,NA,NA,NA,NA,NA,-5.9290*,NA,0.2888885655684595,0.4729691144072933,0.2192832847235955
CW,d_prs ~ 1 + res_reg + res_soc + factor(year) + factor(region_id),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ 1 + res_reg + res_soc + factor(year) + factor(region_id),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ 1 + res_reg + res_soc + factor(year) + factor(region_id),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ 1 + res_reg + res_soc + factor(year) + factor(region_id),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
