goal,lag,adj_r_squared,intercept,res_reg,res_soc
CW,1,0.231577069296098,1.1011*,-1.3217°,NA
ECO,1,0.39381141069201375,-0.2996,NA,NA
FIS,1,0.33194476470956635,-0.6308,NA,0.8190
HAB,1,0.7743429946871246,0.5422,-1.2545,0.3368
HS,1,0.7766678641848541,-0.4422,NA,0.4308
ICO,1,0.4670540439769627,-0.5609°,NA,0.6422
LIV,1,0.39381141069201375,-0.2996,NA,NA
LSP,1,0.5539134485423438,-0.2232,NA,0.2869
MAR,1,0.5818652865239708,-0.1732,0.0176,NA
RAO,1,0.5741063026110054,-0.4897,NA,0.5810
SPFIS,1,0.47572732553976926,0.8669*,-1.1164°,NA
SPP,1,0.4670540439769627,-0.5609°,NA,0.6422
TR,1,0.5238314358281873,-0.3646,NA,0.5270
