goal,dimension,region_id,score,year
BD,resilience,1,NA,2005
BD,resilience,2,NA,2005
BD,resilience,3,NA,2005
BD,resilience,4,NA,2005
BD,resilience,5,NA,2005
BD,resilience,6,NA,2005
BD,resilience,7,NA,2005
BD,resilience,8,NA,2005
BD,resilience,9,NA,2005
BD,resilience,10,NA,2005
BD,resilience,11,NA,2005
BD,resilience,0,NA,2005
CW,resilience,1,NA,2005
CW,resilience,2,NA,2005
CW,resilience,3,NA,2005
CW,resilience,4,NA,2005
CW,resilience,5,76.17,2005
CW,resilience,6,80.24,2005
CW,resilience,7,78.95,2005
CW,resilience,8,78.95,2005
CW,resilience,9,79.75,2005
CW,resilience,10,78.82,2005
CW,resilience,11,67.99,2005
CW,resilience,0,78.3,2005
ECO,resilience,1,NA,2005
ECO,resilience,2,NA,2005
ECO,resilience,3,NA,2005
ECO,resilience,4,NA,2005
ECO,resilience,5,NA,2005
ECO,resilience,6,NA,2005
ECO,resilience,7,NA,2005
ECO,resilience,8,NA,2005
ECO,resilience,9,NA,2005
ECO,resilience,10,NA,2005
ECO,resilience,11,NA,2005
ECO,resilience,0,NA,2005
FIS,resilience,1,70,2005
FIS,resilience,2,61.94,2005
FIS,resilience,3,56.77,2005
FIS,resilience,4,54.62,2005
FIS,resilience,5,63,2005
FIS,resilience,6,65.92,2005
FIS,resilience,7,65.69,2005
FIS,resilience,8,65.55,2005
FIS,resilience,9,66.85,2005
FIS,resilience,10,65.22,2005
FIS,resilience,11,58,2005
FIS,resilience,0,71.65,2005
FP,resilience,1,NA,2005
FP,resilience,2,NA,2005
FP,resilience,3,NA,2005
FP,resilience,4,NA,2005
FP,resilience,5,NA,2005
FP,resilience,6,NA,2005
FP,resilience,7,NA,2005
FP,resilience,8,NA,2005
FP,resilience,9,NA,2005
FP,resilience,10,NA,2005
FP,resilience,11,NA,2005
FP,resilience,0,NA,2005
HAB,resilience,1,79.74,2005
HAB,resilience,2,55.14,2005
HAB,resilience,3,53.17,2005
HAB,resilience,4,47.68,2005
HAB,resilience,5,69.95,2005
