goal,dimension,region_id,score,year
BD,resilience,1,NA,2005
BD,resilience,2,NA,2005
BD,resilience,3,NA,2005
BD,resilience,4,NA,2005
BD,resilience,5,NA,2005
BD,resilience,6,NA,2005
BD,resilience,7,NA,2005
BD,resilience,8,NA,2005
BD,resilience,9,NA,2005
BD,resilience,10,NA,2005
BD,resilience,11,NA,2005
BD,resilience,0,NA,2005
CW,resilience,1,NA,2005
CW,resilience,2,NA,2005
CW,resilience,3,NA,2005
CW,resilience,4,NA,2005
CW,resilience,5,NA,2005
CW,resilience,6,NA,2005
CW,resilience,7,NA,2005
CW,resilience,8,NA,2005
CW,resilience,9,NA,2005
CW,resilience,10,NA,2005
CW,resilience,11,NA,2005
CW,resilience,0,NA,2005
ECO,resilience,1,NA,2005
ECO,resilience,2,NA,2005
ECO,resilience,3,NA,2005
ECO,resilience,4,NA,2005
ECO,resilience,5,64.82,2005
ECO,resilience,6,57.4,2005
ECO,resilience,7,71.56,2005
ECO,resilience,8,69.8,2005
ECO,resilience,9,57.96,2005
ECO,resilience,10,62.6,2005
ECO,resilience,11,63.53,2005
ECO,resilience,0,60.27,2005
FIS,resilience,1,NA,2005
FIS,resilience,2,NA,2005
FIS,resilience,3,NA,2005
FIS,resilience,4,NA,2005
FIS,resilience,5,64.82,2005
FIS,resilience,6,57.4,2005
FIS,resilience,7,71.56,2005
FIS,resilience,8,69.8,2005
FIS,resilience,9,57.96,2005
FIS,resilience,10,62.6,2005
FIS,resilience,11,63.53,2005
FIS,resilience,0,60.27,2005
FP,resilience,1,NA,2005
FP,resilience,2,NA,2005
FP,resilience,3,NA,2005
FP,resilience,4,NA,2005
FP,resilience,5,NA,2005
FP,resilience,6,NA,2005
FP,resilience,7,NA,2005
FP,resilience,8,NA,2005
FP,resilience,9,NA,2005
FP,resilience,10,NA,2005
FP,resilience,11,NA,2005
FP,resilience,0,NA,2005
HAB,resilience,1,NA,2005
HAB,resilience,2,NA,2005
HAB,resilience,3,NA,2005
HAB,resilience,4,NA,2005
HAB,resilience,5,64.82,2005
