goal,lag,adj_r_squared,intercept,pressures
ECO,1,0.03747208993351414,-0.0470,NA
FIS,1,0.5956937111002973,0.0046,NA
HAB,1,0.1833047650791525,0.0015,NA
HS,1,0.30592346639725343,0.0007,NA
ICO,1,-1.3322676295501878e-15,-0.0042***,NA
LIV,1,-0.009934659063052242,-0.0029,NA
LSP,1,0.10994201987520469,0.0088,NA
MAR,1,-0.02493879525613618,-0.0180,NA
RAO,1,0.9463885237795263,0.0259***,NA
SPFIS,1,0.157985005642865,-0.0015,NA
TR,3,0.31373590321073885,-0.0833***,0.0035***
CW,5,0.8795543426090326,-0.2329***,0.0048***
