adj_r_squared,aicc,yrs,rgns,params,rmse,model,goal,lag,model_error,intercept,factor_region_id_1,factor_region_id_10,factor_region_id_11,factor_region_id_2,factor_region_id_3,factor_region_id_4,factor_region_id_5,factor_region_id_6,factor_region_id_7,factor_region_id_8,factor_region_id_9,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,factor_year_2016,pressures
0.3856606987375466,-453.53429322996664,11,7,37,0.022118461295243724,prs_ecol_only,CW,1,NA,-0.0807***,NA,-0.0090,-0.0056,NA,NA,NA,-0.0072,0.0272**,0.0196*,-0.0125,0.0094,0.0229*,0.0073,-0.0043,-0.0049,0.0003,0.0110,-0.0118,-0.0080,-0.0175,0.0183,-0.0264*,0.0015***
0.33272855260882417,-445.59993668966456,11,7,37,0.022892667981041368,prs_ecol_soc,CW,1,NA,-0.0944***,NA,-0.0074,-0.0028,NA,NA,NA,-0.0007,0.0104,0.0172°,-0.0105,0.0039,0.0240*,0.0083,-0.0046,0.0009,0.0011,0.0177°,-0.0026,0.0052,-0.0087,0.0315**,-0.0176,0.0020**
0.25918125962326677,-437.5938345680481,11,7,36,0.023654616427821032,intercept only,CW,1,NA,-0.0188*,NA,0.0042,0.0006,NA,NA,NA,0.0069,0.0002,-0.0003,-0.0156°,0.0044,0.0300**,0.0096,0.0016,0.0064,0.0156,0.0274*,0.0075,0.0163,0.0082,0.0479***,-0.0029,NA
0.026580452056702897,12.206508806157252,11,7,37,0.24757777978159282,prs_ecol_only,ECO,1,NA,0.0190,NA,-0.0057,0.0232,NA,NA,NA,0.0076,0.0311,0.0176,0.1248,0.1798*,-0.0174,-0.0630,0.0508,0.2803*,-0.0116,0.1714,0.1110,0.0696,0.0860,-0.0068,0.0638,-0.0041
0.030351608918031237,11.8338697378218,11,7,37,0.24764720511167604,prs_ecol_soc,ECO,1,NA,-0.2219,NA,-0.0168,0.0295,NA,NA,NA,0.0086,0.0123,0.0226,0.1370,0.1676°,0.0095,0.0518,0.0764,0.2681*,-0.0977,0.0851,0.0340,0.0423,0.0082,-0.0205,-0.0508,0.0067
0.03747208993351414,9.09473900334477,11,7,36,0.24227205308498476,intercept only,ECO,1,NA,-0.0470,NA,-0.0060,0.0256,NA,NA,NA,0.0055,0.0340,0.0114,0.1257,0.1798*,0.0000,-0.0000,0.0693,0.2703*,-0.0502,0.1223,0.0643,0.0462,0.0439,-0.0193,-0.0000,NA
0.5923262744544018,-293.41769449159176,11,11,45,0.08461534682800363,prs_ecol_only,FIS,1,NA,0.0061,0.0034,0.0259,0.0109,-0.0104,-0.0027,0.0279,0.0222,-0.0086,0.0025,0.0027,-0.0055,-0.2311***,0.1303***,0.1106***,0.0004,-0.1360***,-0.1012**,0.0382,0.0218,0.0181,0.0104,-0.0528,-0.0001
0.5953541700129934,-294.49121039263673,11,11,45,0.08446134609299377,prs_ecol_soc,FIS,1,NA,0.0628,-0.0387,0.0221,0.0007,-0.0375,-0.0270,0.0041,0.0223,-0.0140,-0.0117,-0.0126,-0.0096,-0.2303***,0.1297***,0.1121***,-0.0003,-0.1307***,-0.0988**,0.0417,0.0245,0.0392,0.0289,-0.0316,-0.0019
0.5956937111002973,-296.34998043625205,11,11,44,0.08411339591623836,intercept only,FIS,1,NA,0.0046,0.0045,0.0264,0.0115,-0.0097,-0.0022,0.0285,0.0221,-0.0079,0.0031,0.0034,-0.0051,-0.2310***,0.1303***,0.1106***,0.0004,-0.1361***,-0.1014**,0.0379,0.0215,0.0172,0.0095,-0.0537°,NA
0.18378179713436882,-856.7229016475599,11,11,45,0.011993103324233553,prs_ecol_only,HAB,1,NA,-0.0107,0.0095,0.0033,0.0074,0.0149*,0.0091,0.0042,0.0002,0.0036,0.0137*,0.0027,0.0098°,0.0066,0.0118*,0.0127**,0.0040,-0.0032,-0.0099*,-0.0034,-0.0010,-0.0039,-0.0016,-0.0026,0.0003
