term,estimate,std.error,statistic,p.value,adj_r_squared,aicc,yrs,rgns,params,goal,model,lag,model_error
(Intercept),1.0898720083479347,0.4660834175763452,2.338362548951684,0.02200017979261606,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
res_reg,-1.2606716497406107,0.605092873330129,-2.083434965615284,0.04057401373502786,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2006,-0.14613600657751033,0.045832808166729445,-3.1884584956239297,0.0020777553849287813,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2007,-0.047899414518952896,0.0446854819066193,-1.0719234184169673,0.28714654624629515,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2008,-0.04278503890580883,0.04500747949156448,-0.950620638816884,0.344810352044454,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2009,-0.05771332041663562,0.04463362695661266,-1.2930457225162866,0.1999120888118131,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2010,-0.11572002250775254,0.04469119917517583,-2.5893246241651613,0.011519568856336957,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2011,-0.09090746515348644,0.04477241970423798,-2.030434489670468,0.04581120169949756,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2012,-0.07522494014965554,0.045698503714398965,-1.6461138557136874,0.10386985689615817,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2013,-0.1297118678364236,0.04558879950743291,-2.845257371062712,0.005700336439773963,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2014,-0.09893167545371376,0.045961970052648043,-2.1524681239814245,0.03453455025970154,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2015,-0.22382996052756624,0.04660336635964949,-4.802871080175112,7.679452077464765e-6,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(year)2016,-0.12776632234386587,0.04885315938360488,-2.6153133995003044,0.010746608948582523,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(region_id)5,-0.03503982757095951,0.03645075521161253,-0.9612922247437133,0.3394537689535885,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(region_id)6,0.10979424107648654,0.048528260934122894,2.2624804384713517,0.026524515169386552,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(region_id)7,0.04228633784406053,0.03823593683652849,1.1059317841445566,0.27224461020235763,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
factor(region_id)8,0.09438486808316576,0.0382359368365285,2.468485824911074,0.015815431516617125,0.26163053356403854,-159.44466620963144,11,7,37,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1,NA
