term,estimate,std.error,statistic,p.value,adj_r_squared,aicc,yrs,rgns,params,intercept,rmse,rsquared,mae,model,goal,lag,model_error
(Intercept),-0.08073752711610169,0.01736018998655392,-4.650728314530875,1.3692107716623304e-5,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
prs_omit_soc,0.0015494778747836844,3.7744271738460953e-4,4.105200083128866,1.0071826733520284e-4,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(region_id)5,-0.007154406700773752,0.008587720096687644,-0.8330973320303332,0.40740036292359494,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(region_id)6,0.02721758886715383,0.010268934494004685,2.6504783805023084,0.009775582936447286,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(region_id)7,0.019591477005843762,0.00925213066186268,2.117509763086238,0.037487379267526794,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(region_id)8,-0.012509120802384912,0.007912560946561457,-1.5809193618686719,0.11804960699332599,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(region_id)9,0.00936442923840595,0.007969615239375482,1.1750164791066837,0.24365639207836332,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(region_id)10,-0.008982710231657984,0.008503058940490107,-1.0564092633633126,0.29412781351314654,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(region_id)11,-0.00558147611491284,0.008020215774268511,-0.6959259291776226,0.4885979767784625,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2006,0.022866337048073646,0.009802277019753537,2.3327576849739535,0.022309281579259606,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2007,0.00734736074588407,0.00966151785002951,0.7604768588055373,0.44932250353229186,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2008,-0.004281181507630803,0.009751351221470037,-0.43903469482308377,0.6618820874997458,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2009,-0.004871414930104902,0.010030698659072515,-0.48565061075768934,0.6286121103086677,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2010,2.943439816232087e-4,0.010345765725273006,0.028450671457229567,0.9773772880269949,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2011,0.010961534554982657,0.010446729359511549,1.0492790784325612,0.2973749688576606,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2012,-0.011823448647940878,0.010728850648861218,-1.1020237893977807,0.2739290622061498,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2013,-0.00795960157410067,0.01130990498769204,-0.7037726296341724,0.4837250711565829,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2014,-0.01748441414550496,0.011503500322972204,-1.5199212113367806,0.13268033737763602,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2015,0.018320066600443184,0.012035474309022671,1.5221723822474635,0.1321160307008265,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
factor(year)2016,-0.026388092843663967,0.011213487970018572,-2.3532457442517116,0.021197752621821154,0.3856606987375466,-453.53429322996664,11,7,37,TRUE,0.022118461295243724,0.24700865666238078,0.015267082408456974,prs_ecol_only,CW,1,NA
(Intercept),-0.0944350048105823,0.026137740101134146,-3.6129751250562268,5.410938564065468e-4,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
pressures,0.0019910139783561273,6.464122193096746e-4,3.0800995384684997,0.0028800825879061937,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(region_id)5,-7.162708436979094e-4,0.008572463270298607,-0.08355484545260225,0.9336300611385605,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(region_id)6,0.010428305516665893,0.008858559230550114,1.177201082621005,0.24278882470365326,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
